accfin_frozen,accfin_full,flip_frozen,flip_full,frac_du_retard_L0,n_censures,readout,retard,retard_relatif,t_pulse,utilisable
1.0,1.0,2611.4166666666665,5102.583333333333,,0,L0_PAIRE_JUMELLE,2491.1666666666665,0.95395219708332,1500,
1.0,1.0,4239.583333333333,6838.583333333333,,0,L0_PAIRE_JUMELLE,2599.0,0.613031941031941,3000,
1.0,0.8333333333333334,5724.75,7863.666666666667,,2,L0_PAIRE_JUMELLE,2138.916666666667,0.37362621366289656,4500,
1.0,1.0,2726.8333333333335,5683.5,,0,L1_PAIRE_BRUIT_INDEP,2956.6666666666665,1.084285801601369,1500,
1.0,1.0,4254.333333333333,6740.083333333333,,0,L1_PAIRE_BRUIT_INDEP,2485.75,0.5842866097312545,3000,
1.0,0.8333333333333334,5717.25,7711.416666666667,,2,L1_PAIRE_BRUIT_INDEP,1994.166666666667,0.3487982275861064,4500,
0.9166666666666666,0.6666666666666666,3580.3333333333335,6524.75,,5,L2_REF_NON_STIM,2944.4166666666665,0.8223861837817708,1500,
0.9166666666666666,0.6666666666666666,4882.25,6651.083333333333,,5,L2_REF_NON_STIM,1768.833333333333,0.36229880348882854,3000,
0.9166666666666666,0.6666666666666666,6196.25,6690.333333333333,,5,L2_REF_NON_STIM,494.08333333333303,0.0797390895030596,4500,
0.5833333333333334,0.25,6733.166666666667,7065.666666666667,,14,L3_COPIE_UNIQUE,332.5,0.049382410455704344,1500,
0.5833333333333334,0.25,7011.416666666667,7065.666666666667,,14,L3_COPIE_UNIQUE,54.25,0.007737380700524145,3000,
0.5833333333333334,0.25,7340.666666666667,7065.666666666667,,14,L3_COPIE_UNIQUE,-275.0,-0.037462537462537464,4500,
,,,,1.0,,L0_PAIRE_JUMELLE,2409.6944444444443,,MOYEN,1
,,,,1.0287035009049095,,L1_PAIRE_BRUIT_INDEP,2478.861111111111,,MOYEN,1
,,,,0.7203310700987907,,L2_REF_NON_STIM,1735.7777777777776,,MOYEN,1
,,,,0.015458391451198285,,L3_COPIE_UNIQUE,37.25,,MOYEN,0
