R_B1,R_B2,R_B3a,R_B3b,R_B3b_transfere,d_B1,d_B3a,d_B3b,d_B3b_transfere,etiquette,filtre_transfere,gain_u,jensen,sigma_omega,topology,u_filter_naif,u_filter_niveau,u_niveau
0.49097701432568713,0.6202322659168673,0.5062626838504413,0.4893289824343247,,1.3489355383836361,0.9305301764813455,1.1134991164541965,nan,nominal,,5.0,-0.017417699704894374,0.15,BA_m3,0.8023884997269317,0.7849708000220373,0.15691990363006353
0.2866214112855647,0.3418613845525319,0.30516963527448154,0.29868002713186464,,0.6727980178960709,0.4559653750923031,0.5435778961656875,nan,nominal,,5.0,-0.015565078292499979,0.15,LATTICE_10x10,0.8039157618701924,0.7883506835776924,0.15560922174285668
0.2165947485063396,0.23599868723420356,0.21661672833469417,0.21538768273574296,0.201466749214862,0.3259074047805675,0.3095348325861702,0.3287305271653921,0.5497720096206293,transfert_sigma_omega_0.3,0.7849708000220373,5.0,-0.004030090629529637,0.3,BA_m3,0.8375615194558081,0.8335314288262785,0.12428335303098723
0.8665612181033323,0.9045908680931498,0.8866320165874664,0.8818932937362316,0.869123366122318,1.4687021281271158,0.7101136981800508,0.872441793284528,1.2665293328186915,transfert_sigma_omega_0.075,0.7849708000220373,5.0,-0.014362266200750096,0.075,BA_m3,0.8339848018420993,0.8196225356413492,0.12786256023285864
0.2866214112855647,0.3418613845525319,0.30516963527448154,0.29868002713186464,0.29732626548824204,0.6727980178960709,0.4559653750923031,0.5435778961656875,0.562298084870281,transfert_topologie_depuis_BA_m3,0.7849708000220373,5.0,-0.015565078292499979,0.15,LATTICE_10x10,0.8039157618701924,0.7883506835776924,0.15560922174285668
0.49097701432568713,0.6202322659168673,0.5062626838504413,0.4893289824343247,0.4926546396048064,1.3489355383836361,0.9305301764813455,1.1134991164541965,1.075820369264466,transfert_topologie_depuis_LATTICE_10x10,0.7883506835776924,5.0,-0.017417699704894374,0.15,BA_m3,0.8023884997269317,0.7849708000220373,0.15691990363006353
0.5339344390661436,0.6572646728395215,0.5628308058029533,0.5387736617218402,,1.3885719559105931,0.8742521734349026,1.0710404442619375,nan,replication,,5.0,-0.02054983824676493,0.15,BA_m3,0.8016398008040055,0.7810899625572406,0.1575593182073239
0.27188475567563336,0.31778713428852845,0.3006510107689718,0.29692458928612475,,0.3510049740492633,0.12459980129147617,0.15328959847502754,nan,replication,,5.0,-0.015090142677938845,0.15,LATTICE_10x10,0.8060545262844588,0.79096438360652,0.1537592272898405
0.24212788130507015,0.275417431538649,0.24280225945520476,0.24080287155889094,,0.4952544611854594,0.4728879853531637,0.5048091367657632,nan,replication,,5.0,-0.004012677453713365,0.3,BA_m3,0.8363783327247791,0.8323656552710658,0.12547473760701772
0.851674002649258,0.8871438391696447,0.868391670584488,0.8636009784283635,,0.5495047783179885,0.27360094838053217,0.3398988186785652,nan,replication,,5.0,-0.0135926610648206,0.075,BA_m3,0.8364178083895832,0.8228251473247626,0.12543510710312972
