regime,I_stim,ablation,label,seed,H_100,H_cog5
FORCED,0.5,NO_HERETIC,Heretic flip disabled,7,3.5020663625799306,0.42732790172440765
FORCED,0.5,NO_HERETIC,Heretic flip disabled,8,3.4911689330386237,0.45543384040145846
FORCED,0.5,NO_HERETIC,Heretic flip disabled,9,3.4370924100470157,0.4255474029799488
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,0,3.0182589580916948,0.014812775643903396
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,1,2.9143625224045233,0.0
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,2,3.010110263694433,0.0
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,3,2.9215788111787324,0.0
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,4,2.992787231052421,0.04336669095698883
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,5,2.9555627087077547,0.007540692683618377
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,6,2.9236795631303902,0.014275556197236687
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,7,2.9475078156734154,0.0
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,8,3.0939026233441975,0.04639482729386898
FORCED,0.5,NO_SIGMOID,Levitating Sigmoid -> 1.0,9,2.985859692394291,0.006463450871672895
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,0,4.449178006548649,1.0940560361261693
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,1,4.229025887350282,0.9670099799731531
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,2,4.47735657326342,1.1244963451071734
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,3,4.516410533758893,1.170462445145333
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,4,4.348658913370341,1.0599622258547303
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,5,4.199964986335237,0.9903356789082662
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,6,4.056399561747512,0.9077061484238808
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,7,4.32877380885194,1.0589505134384116
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,8,4.194273617734231,0.9485820531205014
FORCED,0.5,FROZEN_U,u frozen at sigma_baseline,9,4.403118042996474,1.0894646990048364
