regime,ablation,n,sync_mean,sync_std,lz_mean,lz_std
ENDOGENOUS,FULL,10,0.1986591767237981,0.1555901749124331,1.3181841367406746,0.06162678913635499
ENDOGENOUS,NO_HERETIC,10,0.1986591767237981,0.1555901749124331,1.3181841367406746,0.06162678913635499
ENDOGENOUS,NO_SIGMOID,10,0.08356019594502759,0.1466553009696073,1.3236654971883113,0.06603902836323607
ENDOGENOUS,FROZEN_U,10,0.00563397732845617,0.00888731018031986,2.0611576301430232,0.03650001404272257
FORCED,FULL,10,0.030654370664342134,0.03397630411301814,1.3666858716106696,0.11904106244881525
FORCED,NO_HERETIC,10,0.06921586332826915,0.09170024612693056,1.6064538657368246,0.075904730764837
FORCED,NO_SIGMOID,10,0.03859677991721482,0.022400522318935672,1.4376944046823228,0.05178313219704542
FORCED,FROZEN_U,10,0.7513688590804242,0.05999797719752173,1.994384693780909,0.011047124688078292
