N,m,seed,D,lambda2,H_cont,H_cont_std,sync,u_mean,u_std
100,1,123,0.0,0.02585665916344425,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,1,42,0.0,0.02508488701161831,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,1,777,0.0,0.012707585699499287,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,1,17,0.0,0.023365912209160636,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,1,256,0.0,0.01623348402319481,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,2,17,0.0,0.5519485368912753,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,2,123,0.0,0.5906747217679411,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,2,42,0.0,0.6126087063473932,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,2,777,0.0,0.6001108544839653,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,2,256,0.0,0.6339350995084613,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,3,42,0.0,1.4121160316017192,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,3,123,0.0,1.3168471700685211,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,3,777,0.0,1.4678200272247544,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,3,17,0.0,1.3593410636842016,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,3,256,0.0,1.4258393161444245,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,4,17,0.0,2.1073420406252428,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,4,777,0.0,2.286408935270917,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,4,42,0.0,2.1120905975510933,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,4,123,0.0,2.0812888794442292,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,4,256,0.0,2.3222345312129327,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,5,123,0.0,3.047942285947553,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,5,42,0.0,2.9891365306319644,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,5,17,0.0,1.83482240828564,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,5,777,0.0,3.0341641685803475,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,5,256,0.0,3.075229235728294,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,6,777,0.0,2.834148750414023,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,6,17,0.0,2.70669811162169,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,6,123,0.0,3.8374735994814047,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,6,42,0.0,3.9159484098469934,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,6,256,0.0,0.9879933842714383,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,7,42,0.0,4.578134877191264,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,7,123,0.0,4.853223764205818,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,7,777,0.0,4.908522986970133,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,7,17,0.0,4.673426741487235,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,7,256,0.0,0.9861698331320822,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,8,777,0.0,2.9236624944088945,3.3628412406227013,0.7213348098163334,0.6982934803658596,0.04999999999999999,1.3877787807814457e-17
100,8,42,0.0,5.659545229786224,3.3448726529760107,0.7670446821325385,0.6705988264066999,0.04999999999999999,1.3877787807814457e-17
100,8,17,0.0,5.690440740823568,3.34480518282665,0.7229845796101937,0.7282634483964766,0.04999999999999999,1.3877787807814457e-17
100,8,123,0.0,5.763130291633553,3.318147139394295,0.7239681926347473,0.7175261185204154,0.04999999999999999,1.3877787807814457e-17
100,8,256,0.0,5.671860357850125,3.308842487563422,0.7330071547546007,0.7151225855211369,0.04999999999999999,1.3877787807814457e-17
100,1,777,0.15,0.012707585699499287,3.419320557101113,0.7251446029917,0.5569236216836154,0.2901961412973776,0.3449685399795965
100,1,123,0.15,0.02585665916344425,3.801112735199822,0.5861883921477944,0.5167602238013349,0.401467470266449,0.4045616789244186
100,1,17,0.15,0.023365912209160636,3.6946827766433428,0.638264461525424,0.5056858169296587,0.3660558955307717,0.37312303417604076
100,1,42,0.15,0.02508488701161831,3.721606530211223,0.6684079325437233,0.5171861137737727,0.36474498881517853,0.38054925846691745
