kind,seed,rule,param,stop_iter,success,network_node_steps
easy,1,M4R_U,(10; 0.5),2000,1,2000000
easy,1,M4R_SIG,(10; 0.5),33,0,33000
easy,1,M4R_U,(10; 0.7),1152,1,1152000
easy,1,M4R_SIG,(10; 0.7),28,0,28000
easy,1,M4R_L,(10; 0.01; 0.3),162,1,162000
easy,1,M4R_L,(10; 0.01; 0.5),105,1,105000
easy,1,M4R_L,(10; 0.01; 0.7),70,0,70000
easy,1,M4R_L,(10; 0.03; 0.3),75,1,75000
easy,1,M4R_L,(10; 0.03; 0.5),57,0,57000
easy,1,M4R_L,(10; 0.03; 0.7),45,0,45000
easy,1,M4R_L,(10; 0.1; 0.3),46,0,46000
easy,1,M4R_L,(10; 0.1; 0.5),40,0,40000
easy,1,M4R_L,(10; 0.1; 0.7),36,0,36000
easy,1,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,1,M4R_L,(10; 0.3; 0.5),36,0,36000
easy,1,M4R_L,(10; 0.3; 0.7),31,0,31000
easy,2,TOL,0.02,90,1,0
easy,2,TOL,0.01,104,1,0
easy,2,TOL,0.005,117,1,0
easy,2,TOL,0.002,135,1,0
easy,2,PATIENCE,50,2000,1,0
easy,2,PATIENCE,100,2000,1,0
easy,2,PATIENCE,200,2000,1,0
easy,2,PATIENCE,400,2000,1,0
easy,2,PATIENCE,800,2000,1,0
easy,2,PATIENCE,1600,2000,1,0
easy,2,M4R_U,(2; 0.3),2000,1,400000
easy,2,M4R_SIG,(2; 0.3),89,1,17800
easy,2,M4R_U,(2; 0.5),2000,1,400000
easy,2,M4R_SIG,(2; 0.5),78,1,15600
easy,2,M4R_U,(2; 0.7),2000,1,400000
easy,2,M4R_SIG,(2; 0.7),63,0,12600
easy,2,M4R_L,(2; 0.01; 0.3),254,1,50800
easy,2,M4R_L,(2; 0.01; 0.5),175,1,35000
easy,2,M4R_L,(2; 0.01; 0.7),131,1,26200
easy,2,M4R_L,(2; 0.03; 0.3),135,1,27000
easy,2,M4R_L,(2; 0.03; 0.5),111,1,22200
easy,2,M4R_L,(2; 0.03; 0.7),96,1,19200
easy,2,M4R_L,(2; 0.1; 0.3),99,1,19800
easy,2,M4R_L,(2; 0.1; 0.5),87,1,17400
easy,2,M4R_L,(2; 0.1; 0.7),75,1,15000
easy,2,M4R_L,(2; 0.3; 0.3),91,1,18200
easy,2,M4R_L,(2; 0.3; 0.5),80,1,16000
easy,2,M4R_L,(2; 0.3; 0.7),66,0,13200
easy,2,M4R_U,(5; 0.3),2000,1,1000000
easy,2,M4R_SIG,(5; 0.3),51,0,25500
easy,2,M4R_U,(5; 0.5),2000,1,1000000
easy,2,M4R_SIG,(5; 0.5),46,0,23000
easy,2,M4R_U,(5; 0.7),2000,1,1000000
easy,2,M4R_SIG,(5; 0.7),36,0,18000
easy,2,M4R_L,(5; 0.01; 0.3),188,1,94000
easy,2,M4R_L,(5; 0.01; 0.5),126,1,63000
easy,2,M4R_L,(5; 0.01; 0.7),89,1,44500
easy,2,M4R_L,(5; 0.03; 0.3),93,1,46500
easy,2,M4R_L,(5; 0.03; 0.5),73,1,36500
easy,2,M4R_L,(5; 0.03; 0.7),61,0,30500
easy,2,M4R_L,(5; 0.1; 0.3),61,0,30500
easy,2,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,2,M4R_L,(5; 0.1; 0.7),48,0,24000
easy,2,M4R_L,(5; 0.3; 0.3),53,0,26500
easy,2,M4R_L,(5; 0.3; 0.5),48,0,24000
easy,2,M4R_L,(5; 0.3; 0.7),40,0,20000
easy,2,M4R_U,(10; 0.3),2000,1,2000000
easy,2,M4R_SIG,(10; 0.3),36,0,36000
easy,2,M4R_U,(10; 0.5),2000,1,2000000
easy,2,M4R_SIG,(10; 0.5),33,0,33000
easy,2,M4R_U,(10; 0.7),1062,1,1062000
easy,2,M4R_SIG,(10; 0.7),28,0,28000
easy,2,M4R_L,(10; 0.01; 0.3),160,1,160000
easy,2,M4R_L,(10; 0.01; 0.5),104,1,104000
easy,2,M4R_L,(10; 0.01; 0.7),69,0,69000
easy,2,M4R_L,(10; 0.03; 0.3),74,1,74000
easy,2,M4R_L,(10; 0.03; 0.5),56,0,56000
easy,2,M4R_L,(10; 0.03; 0.7),45,0,45000
easy,2,M4R_L,(10; 0.1; 0.3),45,0,45000
easy,2,M4R_L,(10; 0.1; 0.5),40,0,40000
easy,2,M4R_L,(10; 0.1; 0.7),36,0,36000
easy,2,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,2,M4R_L,(10; 0.3; 0.5),35,0,35000
easy,2,M4R_L,(10; 0.3; 0.7),31,0,31000
easy,3,TOL,0.02,90,1,0
easy,3,TOL,0.01,104,1,0
easy,3,TOL,0.005,117,1,0
easy,3,TOL,0.002,135,1,0
easy,3,PATIENCE,50,2000,1,0
easy,3,PATIENCE,100,2000,1,0
easy,3,PATIENCE,200,2000,1,0
easy,3,PATIENCE,400,2000,1,0
easy,3,PATIENCE,800,2000,1,0
easy,3,PATIENCE,1600,2000,1,0
easy,3,M4R_U,(2; 0.3),2000,1,400000
easy,3,M4R_SIG,(2; 0.3),92,1,18400
easy,3,M4R_U,(2; 0.5),2000,1,400000
easy,3,M4R_SIG,(2; 0.5),79,1,15800
easy,3,M4R_U,(2; 0.7),2000,1,400000
easy,3,M4R_SIG,(2; 0.7),62,0,12400
easy,3,M4R_L,(2; 0.01; 0.3),269,1,53800
easy,3,M4R_L,(2; 0.01; 0.5),179,1,35800
easy,3,M4R_L,(2; 0.01; 0.7),134,1,26800
easy,3,M4R_L,(2; 0.03; 0.3),138,1,27600
easy,3,M4R_L,(2; 0.03; 0.5),114,1,22800
easy,3,M4R_L,(2; 0.03; 0.7),98,1,19600
easy,3,M4R_L,(2; 0.1; 0.3),103,1,20600
easy,3,M4R_L,(2; 0.1; 0.5),89,1,17800
easy,3,M4R_L,(2; 0.1; 0.7),75,1,15000
easy,3,M4R_L,(2; 0.3; 0.3),95,1,19000
easy,3,M4R_L,(2; 0.3; 0.5),82,1,16400
easy,3,M4R_L,(2; 0.3; 0.7),65,0,13000
easy,3,M4R_U,(5; 0.3),2000,1,1000000
easy,3,M4R_SIG,(5; 0.3),51,0,25500
easy,3,M4R_U,(5; 0.5),2000,1,1000000
easy,3,M4R_SIG,(5; 0.5),47,0,23500
easy,3,M4R_U,(5; 0.7),2000,1,1000000
easy,3,M4R_SIG,(5; 0.7),38,0,19000
easy,3,M4R_L,(5; 0.01; 0.3),189,1,94500
easy,3,M4R_L,(5; 0.01; 0.5),126,1,63000
easy,3,M4R_L,(5; 0.01; 0.7),89,1,44500
easy,3,M4R_L,(5; 0.03; 0.3),94,1,47000
easy,3,M4R_L,(5; 0.03; 0.5),74,1,37000
easy,3,M4R_L,(5; 0.03; 0.7),61,0,30500
easy,3,M4R_L,(5; 0.1; 0.3),61,0,30500
easy,3,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,3,M4R_L,(5; 0.1; 0.7),49,0,24500
easy,3,M4R_L,(5; 0.3; 0.3),54,0,27000
easy,3,M4R_L,(5; 0.3; 0.5),49,0,24500
easy,3,M4R_L,(5; 0.3; 0.7),41,0,20500
easy,3,M4R_U,(10; 0.3),2000,1,2000000
easy,3,M4R_SIG,(10; 0.3),36,0,36000
easy,3,M4R_U,(10; 0.5),2000,1,2000000
easy,3,M4R_SIG,(10; 0.5),33,0,33000
easy,3,M4R_U,(10; 0.7),1075,1,1075000
easy,3,M4R_SIG,(10; 0.7),28,0,28000
easy,3,M4R_L,(10; 0.01; 0.3),160,1,160000
easy,3,M4R_L,(10; 0.01; 0.5),104,1,104000
easy,3,M4R_L,(10; 0.01; 0.7),69,0,69000
easy,3,M4R_L,(10; 0.03; 0.3),74,1,74000
easy,3,M4R_L,(10; 0.03; 0.5),56,0,56000
easy,3,M4R_L,(10; 0.03; 0.7),45,0,45000
easy,3,M4R_L,(10; 0.1; 0.3),45,0,45000
easy,3,M4R_L,(10; 0.1; 0.5),40,0,40000
easy,3,M4R_L,(10; 0.1; 0.7),35,0,35000
easy,3,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,3,M4R_L,(10; 0.3; 0.5),35,0,35000
easy,3,M4R_L,(10; 0.3; 0.7),31,0,31000
easy,4,TOL,0.02,90,1,0
easy,4,TOL,0.01,104,1,0
easy,4,TOL,0.005,117,1,0
easy,4,TOL,0.002,135,1,0
easy,4,PATIENCE,50,2000,1,0
easy,4,PATIENCE,100,2000,1,0
easy,4,PATIENCE,200,2000,1,0
easy,4,PATIENCE,400,2000,1,0
easy,4,PATIENCE,800,2000,1,0
easy,4,PATIENCE,1600,2000,1,0
easy,4,M4R_U,(2; 0.3),2000,1,400000
easy,4,M4R_SIG,(2; 0.3),93,1,18600
easy,4,M4R_U,(2; 0.5),2000,1,400000
easy,4,M4R_SIG,(2; 0.5),80,1,16000
easy,4,M4R_U,(2; 0.7),2000,1,400000
easy,4,M4R_SIG,(2; 0.7),63,0,12600
easy,4,M4R_L,(2; 0.01; 0.3),270,1,54000
easy,4,M4R_L,(2; 0.01; 0.5),180,1,36000
easy,4,M4R_L,(2; 0.01; 0.7),136,1,27200
easy,4,M4R_L,(2; 0.03; 0.3),140,1,28000
easy,4,M4R_L,(2; 0.03; 0.5),115,1,23000
easy,4,M4R_L,(2; 0.03; 0.7),99,1,19800
easy,4,M4R_L,(2; 0.1; 0.3),104,1,20800
easy,4,M4R_L,(2; 0.1; 0.5),91,1,18200
easy,4,M4R_L,(2; 0.1; 0.7),76,1,15200
easy,4,M4R_L,(2; 0.3; 0.3),96,1,19200
easy,4,M4R_L,(2; 0.3; 0.5),83,1,16600
easy,4,M4R_L,(2; 0.3; 0.7),66,0,13200
easy,4,M4R_U,(5; 0.3),2000,1,1000000
easy,4,M4R_SIG,(5; 0.3),52,0,26000
easy,4,M4R_U,(5; 0.5),2000,1,1000000
easy,4,M4R_SIG,(5; 0.5),47,0,23500
easy,4,M4R_U,(5; 0.7),2000,1,1000000
easy,4,M4R_SIG,(5; 0.7),38,0,19000
easy,4,M4R_L,(5; 0.01; 0.3),202,1,101000
easy,4,M4R_L,(5; 0.01; 0.5),133,1,66500
easy,4,M4R_L,(5; 0.01; 0.7),91,1,45500
easy,4,M4R_L,(5; 0.03; 0.3),96,1,48000
easy,4,M4R_L,(5; 0.03; 0.5),75,1,37500
easy,4,M4R_L,(5; 0.03; 0.7),62,0,31000
easy,4,M4R_L,(5; 0.1; 0.3),62,0,31000
easy,4,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,4,M4R_L,(5; 0.1; 0.7),49,0,24500
easy,4,M4R_L,(5; 0.3; 0.3),54,0,27000
easy,4,M4R_L,(5; 0.3; 0.5),49,0,24500
easy,4,M4R_L,(5; 0.3; 0.7),42,0,21000
easy,4,M4R_U,(10; 0.3),2000,1,2000000
easy,4,M4R_SIG,(10; 0.3),36,0,36000
easy,4,M4R_U,(10; 0.5),2000,1,2000000
easy,4,M4R_SIG,(10; 0.5),33,0,33000
easy,4,M4R_U,(10; 0.7),1084,1,1084000
easy,4,M4R_SIG,(10; 0.7),28,0,28000
easy,4,M4R_L,(10; 0.01; 0.3),160,1,160000
easy,4,M4R_L,(10; 0.01; 0.5),104,1,104000
easy,4,M4R_L,(10; 0.01; 0.7),70,0,70000
easy,4,M4R_L,(10; 0.03; 0.3),74,1,74000
easy,4,M4R_L,(10; 0.03; 0.5),57,0,57000
easy,4,M4R_L,(10; 0.03; 0.7),45,0,45000
easy,4,M4R_L,(10; 0.1; 0.3),45,0,45000
easy,4,M4R_L,(10; 0.1; 0.5),40,0,40000
easy,4,M4R_L,(10; 0.1; 0.7),36,0,36000
easy,4,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,4,M4R_L,(10; 0.3; 0.5),35,0,35000
easy,4,M4R_L,(10; 0.3; 0.7),31,0,31000
easy,5,TOL,0.02,90,1,0
easy,5,TOL,0.01,104,1,0
easy,5,TOL,0.005,117,1,0
easy,5,TOL,0.002,135,1,0
easy,5,PATIENCE,50,2000,1,0
easy,5,PATIENCE,100,2000,1,0
easy,5,PATIENCE,200,2000,1,0
easy,5,PATIENCE,400,2000,1,0
easy,5,PATIENCE,800,2000,1,0
easy,5,PATIENCE,1600,2000,1,0
easy,5,M4R_U,(2; 0.3),2000,1,400000
easy,5,M4R_SIG,(2; 0.3),93,1,18600
easy,5,M4R_U,(2; 0.5),2000,1,400000
easy,5,M4R_SIG,(2; 0.5),80,1,16000
easy,5,M4R_U,(2; 0.7),2000,1,400000
easy,5,M4R_SIG,(2; 0.7),63,0,12600
easy,5,M4R_L,(2; 0.01; 0.3),270,1,54000
easy,5,M4R_L,(2; 0.01; 0.5),180,1,36000
easy,5,M4R_L,(2; 0.01; 0.7),135,1,27000
easy,5,M4R_L,(2; 0.03; 0.3),139,1,27800
easy,5,M4R_L,(2; 0.03; 0.5),115,1,23000
easy,5,M4R_L,(2; 0.03; 0.7),99,1,19800
easy,5,M4R_L,(2; 0.1; 0.3),104,1,20800
easy,5,M4R_L,(2; 0.1; 0.5),91,1,18200
easy,5,M4R_L,(2; 0.1; 0.7),75,1,15000
easy,5,M4R_L,(2; 0.3; 0.3),96,1,19200
easy,5,M4R_L,(2; 0.3; 0.5),83,1,16600
easy,5,M4R_L,(2; 0.3; 0.7),66,0,13200
easy,5,M4R_U,(5; 0.3),2000,1,1000000
easy,5,M4R_SIG,(5; 0.3),51,0,25500
easy,5,M4R_U,(5; 0.5),2000,1,1000000
easy,5,M4R_SIG,(5; 0.5),47,0,23500
easy,5,M4R_U,(5; 0.7),2000,1,1000000
easy,5,M4R_SIG,(5; 0.7),38,0,19000
easy,5,M4R_L,(5; 0.01; 0.3),185,1,92500
easy,5,M4R_L,(5; 0.01; 0.5),125,1,62500
easy,5,M4R_L,(5; 0.01; 0.7),88,1,44000
easy,5,M4R_L,(5; 0.03; 0.3),92,1,46000
easy,5,M4R_L,(5; 0.03; 0.5),73,1,36500
easy,5,M4R_L,(5; 0.03; 0.7),61,0,30500
easy,5,M4R_L,(5; 0.1; 0.3),61,0,30500
easy,5,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,5,M4R_L,(5; 0.1; 0.7),49,0,24500
easy,5,M4R_L,(5; 0.3; 0.3),54,0,27000
easy,5,M4R_L,(5; 0.3; 0.5),49,0,24500
easy,5,M4R_L,(5; 0.3; 0.7),41,0,20500
easy,5,M4R_U,(10; 0.3),2000,1,2000000
easy,5,M4R_SIG,(10; 0.3),36,0,36000
easy,5,M4R_U,(10; 0.5),2000,1,2000000
easy,5,M4R_SIG,(10; 0.5),33,0,33000
easy,5,M4R_U,(10; 0.7),1740,1,1740000
easy,5,M4R_SIG,(10; 0.7),26,0,26000
easy,5,M4R_L,(10; 0.01; 0.3),160,1,160000
easy,5,M4R_L,(10; 0.01; 0.5),104,1,104000
easy,5,M4R_L,(10; 0.01; 0.7),68,0,68000
easy,5,M4R_L,(10; 0.03; 0.3),74,1,74000
easy,5,M4R_L,(10; 0.03; 0.5),56,0,56000
easy,5,M4R_L,(10; 0.03; 0.7),44,0,44000
easy,5,M4R_L,(10; 0.1; 0.3),45,0,45000
easy,5,M4R_L,(10; 0.1; 0.5),39,0,39000
easy,5,M4R_L,(10; 0.1; 0.7),35,0,35000
easy,5,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,5,M4R_L,(10; 0.3; 0.5),35,0,35000
easy,5,M4R_L,(10; 0.3; 0.7),30,0,30000
easy,6,TOL,0.02,90,1,0
easy,6,TOL,0.01,104,1,0
easy,6,TOL,0.005,117,1,0
easy,6,TOL,0.002,135,1,0
easy,6,PATIENCE,50,2000,1,0
easy,6,PATIENCE,100,2000,1,0
easy,6,PATIENCE,200,2000,1,0
easy,6,PATIENCE,400,2000,1,0
easy,6,PATIENCE,800,2000,1,0
easy,6,PATIENCE,1600,2000,1,0
easy,6,M4R_U,(2; 0.3),2000,1,400000
easy,6,M4R_SIG,(2; 0.3),90,1,18000
easy,6,M4R_U,(2; 0.5),2000,1,400000
easy,6,M4R_SIG,(2; 0.5),78,1,15600
easy,6,M4R_U,(2; 0.7),2000,1,400000
easy,6,M4R_SIG,(2; 0.7),62,0,12400
easy,6,M4R_L,(2; 0.01; 0.3),258,1,51600
easy,6,M4R_L,(2; 0.01; 0.5),175,1,35000
easy,6,M4R_L,(2; 0.01; 0.7),131,1,26200
easy,6,M4R_L,(2; 0.03; 0.3),136,1,27200
easy,6,M4R_L,(2; 0.03; 0.5),112,1,22400
easy,6,M4R_L,(2; 0.03; 0.7),96,1,19200
easy,6,M4R_L,(2; 0.1; 0.3),101,1,20200
easy,6,M4R_L,(2; 0.1; 0.5),88,1,17600
easy,6,M4R_L,(2; 0.1; 0.7),74,1,14800
easy,6,M4R_L,(2; 0.3; 0.3),93,1,18600
easy,6,M4R_L,(2; 0.3; 0.5),80,1,16000
easy,6,M4R_L,(2; 0.3; 0.7),65,0,13000
easy,6,M4R_U,(5; 0.3),2000,1,1000000
easy,6,M4R_SIG,(5; 0.3),51,0,25500
easy,6,M4R_U,(5; 0.5),2000,1,1000000
easy,6,M4R_SIG,(5; 0.5),47,0,23500
easy,6,M4R_U,(5; 0.7),2000,1,1000000
easy,6,M4R_SIG,(5; 0.7),39,0,19500
easy,6,M4R_L,(5; 0.01; 0.3),185,1,92500
easy,6,M4R_L,(5; 0.01; 0.5),124,1,62000
easy,6,M4R_L,(5; 0.01; 0.7),87,1,43500
easy,6,M4R_L,(5; 0.03; 0.3),91,1,45500
easy,6,M4R_L,(5; 0.03; 0.5),73,1,36500
easy,6,M4R_L,(5; 0.03; 0.7),61,0,30500
easy,6,M4R_L,(5; 0.1; 0.3),60,0,30000
easy,6,M4R_L,(5; 0.1; 0.5),55,0,27500
easy,6,M4R_L,(5; 0.1; 0.7),49,0,24500
easy,6,M4R_L,(5; 0.3; 0.3),53,0,26500
easy,6,M4R_L,(5; 0.3; 0.5),49,0,24500
easy,6,M4R_L,(5; 0.3; 0.7),42,0,21000
easy,6,M4R_U,(10; 0.3),2000,1,2000000
easy,6,M4R_SIG,(10; 0.3),36,0,36000
easy,6,M4R_U,(10; 0.5),2000,1,2000000
easy,6,M4R_SIG,(10; 0.5),34,0,34000
easy,6,M4R_U,(10; 0.7),1194,1,1194000
easy,6,M4R_SIG,(10; 0.7),28,0,28000
easy,6,M4R_L,(10; 0.01; 0.3),164,1,164000
easy,6,M4R_L,(10; 0.01; 0.5),106,1,106000
easy,6,M4R_L,(10; 0.01; 0.7),70,0,70000
easy,6,M4R_L,(10; 0.03; 0.3),75,1,75000
easy,6,M4R_L,(10; 0.03; 0.5),57,0,57000
easy,6,M4R_L,(10; 0.03; 0.7),45,0,45000
easy,6,M4R_L,(10; 0.1; 0.3),46,0,46000
easy,6,M4R_L,(10; 0.1; 0.5),40,0,40000
easy,6,M4R_L,(10; 0.1; 0.7),36,0,36000
easy,6,M4R_L,(10; 0.3; 0.3),38,0,38000
easy,6,M4R_L,(10; 0.3; 0.5),36,0,36000
easy,6,M4R_L,(10; 0.3; 0.7),31,0,31000
easy,7,TOL,0.02,90,1,0
easy,7,TOL,0.01,104,1,0
easy,7,TOL,0.005,117,1,0
easy,7,TOL,0.002,135,1,0
easy,7,PATIENCE,50,2000,1,0
easy,7,PATIENCE,100,2000,1,0
easy,7,PATIENCE,200,2000,1,0
easy,7,PATIENCE,400,2000,1,0
easy,7,PATIENCE,800,2000,1,0
easy,7,PATIENCE,1600,2000,1,0
easy,7,M4R_U,(2; 0.3),2000,1,400000
easy,7,M4R_SIG,(2; 0.3),89,1,17800
easy,7,M4R_U,(2; 0.5),2000,1,400000
easy,7,M4R_SIG,(2; 0.5),77,1,15400
easy,7,M4R_U,(2; 0.7),2000,1,400000
easy,7,M4R_SIG,(2; 0.7),61,0,12200
easy,7,M4R_L,(2; 0.01; 0.3),264,1,52800
easy,7,M4R_L,(2; 0.01; 0.5),175,1,35000
easy,7,M4R_L,(2; 0.01; 0.7),131,1,26200
easy,7,M4R_L,(2; 0.03; 0.3),135,1,27000
easy,7,M4R_L,(2; 0.03; 0.5),111,1,22200
easy,7,M4R_L,(2; 0.03; 0.7),95,1,19000
easy,7,M4R_L,(2; 0.1; 0.3),100,1,20000
easy,7,M4R_L,(2; 0.1; 0.5),87,1,17400
easy,7,M4R_L,(2; 0.1; 0.7),73,1,14600
easy,7,M4R_L,(2; 0.3; 0.3),91,1,18200
easy,7,M4R_L,(2; 0.3; 0.5),79,1,15800
easy,7,M4R_L,(2; 0.3; 0.7),64,0,12800
easy,7,M4R_U,(5; 0.3),2000,1,1000000
easy,7,M4R_SIG,(5; 0.3),51,0,25500
easy,7,M4R_U,(5; 0.5),2000,1,1000000
easy,7,M4R_SIG,(5; 0.5),46,0,23000
easy,7,M4R_U,(5; 0.7),2000,1,1000000
easy,7,M4R_SIG,(5; 0.7),38,0,19000
easy,7,M4R_L,(5; 0.01; 0.3),189,1,94500
easy,7,M4R_L,(5; 0.01; 0.5),126,1,63000
easy,7,M4R_L,(5; 0.01; 0.7),88,1,44000
easy,7,M4R_L,(5; 0.03; 0.3),92,1,46000
