n_pivots,m,D,seed,f_fft,drive_power_frac,lz_state,ac50,winner_fft
1,3,0.0,42,0.0013333333333333333,0.001800885199166051,0.8817249432265816,0.7873479581729999,INTRINSIC
1,3,0.0,123,0.0026666666666666666,0.0010203821931706973,0.6015697041886721,0.7141264403735964,INTRINSIC
1,3,0.0,777,0.0026666666666666666,0.0012675512141434248,0.7809964004634053,0.6928274544695238,INTRINSIC
1,3,0.0,999,0.0013333333333333333,0.0019539063279715363,0.9587676339620056,0.7080491533985678,INTRINSIC
1,3,0.0,314,0.0013333333333333333,0.002737645562363041,0.8498891206086369,0.6751353858733946,INTRINSIC
1,3,0.15,42,0.004,0.00819937315532501,1.735179675968428,0.52593071437777,INTRINSIC
1,3,0.15,123,0.0013333333333333333,0.00880781779296548,1.7496968110822109,0.5354024731932232,INTRINSIC
1,3,0.15,777,0.0026666666666666666,0.0012113939087457827,1.6703619411182922,0.7174292206603202,INTRINSIC
1,3,0.15,999,0.0026666666666666666,0.005746310311663869,1.7499514976631532,0.6326257757192675,INTRINSIC
1,3,0.15,314,0.0026666666666666666,0.006168170205057458,1.7345429595160688,0.7132699166346702,INTRINSIC
1,3,0.5,42,0.004,0.022806748888314243,2.0297247068296476,0.47045284538723403,INTRINSIC
1,3,0.5,123,0.0013333333333333333,0.01569203513123377,2.026541124567852,0.5366975862125819,INTRINSIC
1,3,0.5,777,0.0026666666666666666,0.005375684031122912,1.9168985514716532,0.6867382027761111,INTRINSIC
1,3,0.5,999,0.0026666666666666666,0.012911903802960931,2.0565941411191915,0.5793280318468886,INTRINSIC
1,3,0.5,314,0.0026666666666666666,0.011851360169141708,1.999417003697365,0.6776369814208753,INTRINSIC
1,6,0.0,42,0.0013333333333333333,0.001829293384032557,0.8821069730979968,0.7872349026436285,INTRINSIC
1,6,0.0,123,0.0026666666666666666,0.0010203821931706973,0.6015697041886721,0.7141264403735964,INTRINSIC
1,6,0.0,777,0.0026666666666666666,0.0012675512141434248,0.7809964004634053,0.6928274544695238,INTRINSIC
1,6,0.0,999,0.0013333333333333333,0.001975911175050246,0.9604230967381387,0.7070967361330447,INTRINSIC
1,6,0.0,314,0.0013333333333333333,0.00268825322735773,0.8437766426659914,0.6749246175929353,INTRINSIC
1,6,0.15,42,0.0026666666666666666,0.008349536200273558,1.9426218961469521,0.4737185001754197,INTRINSIC
1,6,0.15,123,0.0013333333333333333,0.002977518034683615,0.7962775953200183,0.9869127704596815,INTRINSIC
1,6,0.15,777,0.0026666666666666666,0.001832322078795528,1.713021943426339,0.7332900424720293,INTRINSIC
1,6,0.15,999,0.0026666666666666666,0.003523349838005533,1.7514796171488154,0.8783362945410729,INTRINSIC
1,6,0.15,314,0.0013333333333333333,5.821672790235737e-05,0.990221426708534,0.7625830145002988,INTRINSIC
1,6,0.5,42,0.0026666666666666666,0.02661727139387161,2.2156459109184414,0.5049411025522442,INTRINSIC
1,6,0.5,123,0.0013333333333333333,0.018642986044460255,2.1724765354485087,0.5861006030869981,INTRINSIC
1,6,0.5,777,0.0026666666666666666,0.005118311606055616,2.0479347973671103,0.6617814229716713,INTRINSIC
1,6,0.5,999,0.0026666666666666666,0.034223407291062574,2.1801171328768136,0.5949036054197753,INTRINSIC
1,6,0.5,314,0.0026666666666666666,0.010839588597551434,2.145607101158963,0.6886417492200235,INTRINSIC
2,3,0.0,42,0.0013333333333333333,0.005424803759912725,0.8847811821979041,0.7803385410978481,INTRINSIC
2,3,0.0,123,0.0026666666666666666,0.003239783216487358,0.6015697041886721,0.7102356817489736,INTRINSIC
2,3,0.0,777,0.0026666666666666666,0.0035019369854489848,0.7832885796918976,0.6878520806851557,INTRINSIC
2,3,0.0,999,0.0013333333333333333,0.007007697290086196,0.9641160521618203,0.6962132060878975,INTRINSIC
2,3,0.0,314,0.0013333333333333333,0.007341512941531385,0.8544734790656208,0.6663861340126445,INTRINSIC
2,3,0.15,42,0.004,0.02424190590951162,1.723718779825968,0.4985600223899879,INTRINSIC
2,3,0.15,123,0.0013333333333333333,0.026492367704277483,1.734415616225597,0.5058303805236972,INTRINSIC
2,3,0.15,777,0.0026666666666666666,0.00386307181997593,1.6545713730997917,0.7119818436268667,INTRINSIC
2,3,0.15,999,0.0026666666666666666,0.021095381718753355,1.7407827807491845,0.6065950470597501,INTRINSIC
2,3,0.15,314,0.0026666666666666666,0.015082422480647692,1.7239734664069117,0.695663507026066,INTRINSIC
2,3,0.5,42,0.004,0.039514790152945435,1.9833717490979204,0.44186297197797736,INTRINSIC
2,3,0.5,123,0.0013333333333333333,0.03161268395958174,1.9848998685835817,0.5101404317606578,INTRINSIC
2,3,0.5,777,0.0026666666666666666,0.008777030964735814,1.8976697146104158,0.6800292001760438,INTRINSIC
2,3,0.5,999,0.0026666666666666666,0.036149969739286796,2.002091212797271,0.5405807709058711,INTRINSIC
2,3,0.5,314,0.0026666666666666666,0.02006247257787683,1.9649069719795127,0.6612745373442306,INTRINSIC
2,6,0.0,42,0.0013333333333333333,0.005514812956742699,0.8851632120693195,0.7801167251852303,INTRINSIC
2,6,0.0,123,0.0026666666666666666,0.003239783216487358,0.6015697041886721,0.7102356817489736,INTRINSIC
2,6,0.0,777,0.0026666666666666666,0.0035019369854489848,0.7832885796918976,0.6878520806851557,INTRINSIC
2,6,0.0,999,0.0013333333333333333,0.007061786123195775,0.9639887088713486,0.6950539340226145,INTRINSIC
2,6,0.0,314,0.0013333333333333333,0.007288465777636299,0.8478516279610883,0.6661810961399925,INTRINSIC
2,6,0.15,42,0.0013333333333333333,0.02531553142895548,1.9048009388768352,0.37801068784740416,INTRINSIC
2,6,0.15,123,0.0013333333333333333,0.003751667023352158,0.7343887561507354,0.9595771551197501,INTRINSIC
2,6,0.15,777,0.0026666666666666666,0.006464335008178545,1.5819856975308804,0.6452048711774007,INTRINSIC
2,6,0.15,999,0.0026666666666666666,0.007272163268861901,1.1793262130591233,0.6354924534098348,INTRINSIC
2,6,0.15,314,0.0013333333333333333,3.310452643419326e-05,0.9920042327751386,0.7878789990033582,INTRINSIC
2,6,0.5,42,0.0026666666666666666,0.049676342140435786,2.157195340591894,0.4394353476536732,INTRINSIC
2,6,0.5,123,0.0013333333333333333,0.0724006569813154,2.1089322335030913,0.4688925554738599,INTRINSIC
2,6,0.5,777,0.0026666666666666666,0.011910145048228283,2.0127880491969004,0.6456648111114478,INTRINSIC
2,6,0.5,999,0.0026666666666666666,0.057948943685662085,2.144461011544717,0.555776147389953,INTRINSIC
