topo,lambda2,sigma,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std,lz_mean,lz_std,sync_mean,sync_std
BA_m2,0.624718347239353,0.0,0.38491448547175944,0.01330047432463672,3.8711179440928,0.029334623025058574,0.8089092515494744,0.026699060454100875,0.235474916641172,0.03179047472523713
BA_m2,0.624718347239353,0.01,0.3805518500475214,0.025471967140325468,3.8757290118516394,0.05180401526164646,0.8122389022217119,0.0320547854082928,0.22546197359859352,0.02027086799624098
BA_m2,0.624718347239353,0.03,0.36204519784874667,0.019115102834387398,3.861269797145493,0.03483719370432773,0.8152421165535341,0.006879060161345264,0.2150705760334207,0.015745365069236062
BA_m2,0.624718347239353,0.07,0.3618516537140703,0.013873160266703063,3.8389736919687345,0.020102402564563065,0.8123041894897952,0.02538978123481355,0.2388059721728023,0.04252369068981511
BA_m2,0.624718347239353,0.15,0.3977346848481722,0.006153642981813112,3.909368318135813,0.04007084985742847,0.8375050749698675,0.049397832928899654,0.20336816207594635,0.03715636524071046
BA_m2,0.624718347239353,0.3,0.4150944922696484,0.02560987356876319,4.0226832986700325,0.055144609560894293,0.8331308280083004,0.029826922680608825,0.15973708192017352,0.030632765087147264
BA_m2,0.624718347239353,0.5,0.4878097220586661,0.00857776763576706,4.213655928020626,0.011576572537359183,0.9859683225908121,0.04844482466521305,0.13400068771253185,0.023248970814848488
BA_m2,0.624718347239353,0.8,0.5494380131229678,0.030364461348748036,4.429728252331183,0.018291654108396563,1.1185667640675663,0.03577468264552984,0.06929003811881494,0.02412977983212376
BA_m2,0.624718347239353,1.2,0.6580264969080147,0.011857781855988809,4.616276408086552,0.017975610375164174,1.2808056252540432,0.03355676665670974,0.03691817478870918,0.011710402226226166
BA_m3,1.412558694605543,0.0,0.016070647781744482,0.006496346039189949,3.168284543300951,0.050021180269652236,0.87517582865381,0.15510485224863793,0.12605845015697306,0.034933547363132
BA_m3,1.412558694605543,0.01,0.013825381841803706,0.003959696957225203,3.1059894140447066,0.05151954445691695,0.8390719694038619,0.1522949484831663,0.1329510493108204,0.022153846258401517
