n_pivots,m,D,f_fft_mean,f_fft_std,drive_pf_mean,drive_pf_std,lz_state_mean,ac50_mean,fdrive_wins,n_seeds
1,3,0.0,0.0018666666666666664,0.0007302967433402214,0.00175607409936295,0.0006679306387151928,0.8145895604898603,0.7154972784576165,0,5
1,3,0.15,0.0026666666666666666,0.0009428090415820634,0.006026613074751519,0.00298918591464103,1.7279465770696305,0.6249316201170502,0,5
1,3,0.5,0.0026666666666666666,0.0009428090415820634,0.013727546404554713,0.0063291011693325785,2.005835105537142,0.5901707295287382,0,5
1,6,0.0,0.0018666666666666664,0.0007302967433402214,0.001756278238750931,0.0006524079076810249,0.8137745634308409,0.7152420302425457,0,5
1,6,0.15,0.0021333333333333334,0.0007302967433402214,0.0033481885759321186,0.0030944838897365374,1.4387244957501317,0.7669681244297004,0,5
1,6,0.5,0.0024000000000000002,0.0005962847939999439,0.019088312986600298,0.011717049575380459,2.1523562955539672,0.6072736966501424,0,5
2,3,0.0,0.0018666666666666664,0.0007302967433402214,0.00530314683869333,0.0019089955074522093,0.817645799461183,0.7082051287265039,0,5
2,3,0.15,0.0026666666666666666,0.0009428090415820634,0.018155029926633214,0.009067909242908104,1.7154924032614907,0.6037261601252736,0,5
2,3,0.5,0.0026666666666666666,0.0009428090415820634,0.027223389478885324,0.012664666843324698,1.9665879034137403,0.5667775824329562,0,5
2,6,0.0,0.0018666666666666664,0.0007302967433402214,0.005321357011902223,0.0019091407942237377,0.8163723665564652,0.7078879035563933,0,5
2,6,0.15,0.0018666666666666664,0.0007302967433402215,0.008567360251156456,0.009780412954416598,1.2785011676785427,0.6812328333115496,0,5
2,6,0.5,0.0024000000000000002,0.0005962847939999439,0.04219513418740915,0.025835463550998906,2.10465349894324,0.5558959878854118,0,5
3,3,0.0,0.0018666666666666664,0.0007302967433402214,0.011085691573902514,0.003986765089127368,0.8206001638001282,0.6967765884953734,0,5
3,3,0.15,0.0026666666666666666,0.0009428090415820634,0.03702319692190766,0.018253529169808182,1.7033183846923887,0.5707952351662197,0,5
3,3,0.5,0.0026666666666666666,0.0009428090415820634,0.046427890768228494,0.021484072675065823,1.9188851068030126,0.5331127913927978,0,5
3,6,0.0,0.0018666666666666664,0.0007302967433402214,0.0110854715215607,0.003940207521449515,0.8195559488182595,0.6971009872496412,0,5
3,6,0.15,0.0024000000000000002,0.0005962847939999439,0.011174046635428451,0.012559595740467376,1.3954277769897276,0.7156922423099324,0,5
3,6,0.5,0.0024000000000000002,0.0005962847939999439,0.05615814700054779,0.030649723737097272,2.0187986525071686,0.5306179668025346,0,5
4,3,0.0,0.0018666666666666664,0.0007302967433402214,0.01909683102776722,0.006843215008412642,0.8236818714295453,0.6805776603179702,0,5
4,3,0.15,0.0026666666666666666,0.0009428090415820634,0.06200938524150342,0.030498123792712252,1.690787804909966,0.5257878266592029,0,5
