eta_spice,sigma_python,label,h_cog_mean,h_cog_std,h_cont_mean,h_cont_std
0.1,0.0008635153791155346,1x_sigma_equiv,0.0,0.0,2.56582993716598,0.05988875799076001
0.1,0.0017270307582310691,2x_sigma_equiv,0.0,0.0,2.550302421895953,0.08627265594083529
0.3,0.0026442837997779967,1x_sigma_equiv,0.0,0.0,2.520962662700845,0.012086661942663581
0.3,0.0052885675995559935,2x_sigma_equiv,0.0,0.0,2.5321899994956794,0.04716349555124363
0.5,0.004397775769936489,1x_sigma_equiv,0.0,0.0,2.508726682304285,0.03584217654824255
0.5,0.008795551539872978,2x_sigma_equiv,0.0,0.0,2.4846864270434565,0.01438518246287214
0.8,0.007175174829189036,1x_sigma_equiv,0.0,0.0,2.5200105935032098,0.026028420335867098
0.8,0.014350349658378073,2x_sigma_equiv,0.0,0.0,2.539403617035392,0.05600114909353586
