protocol,arm,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
ENDOGENE,U_0.45,0.450000,0.165800,canon,6,-0.0023901352,0.9959613555,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,7,0.0014484416,0.9877325368,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,8,0.0024321662,0.9915726522,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,canon,9,0.0022299272,0.9951384736,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3031,0.0185904653,1.0044644682,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3032,-0.0133343171,1.0041901742,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3033,-0.0010372257,1.0006243528,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3034,-0.0065565816,1.0187277539,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3035,0.0072640942,0.9992528830,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3036,0.0060009513,0.9921212401,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3037,0.0019544767,1.0102246412,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3038,0.0036207219,1.0094017594,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3039,0.0033460794,0.9965099434,0.000e+00
ENDOGENE,U_0.45,0.450000,0.165800,replication,3040,0.0040342309,1.0088531715,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,0,-0.0047314247,1.0497229710,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,1,0.0018634901,1.0744094270,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,2,0.0256055578,1.0645348446,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,3,-0.0031861205,1.0200992237,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,4,0.0072104478,1.0096760533,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,5,0.0089715892,1.0277794544,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,6,-0.0066471750,0.9976071192,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,7,-0.0009046603,1.0368311550,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,8,0.0004102154,1.0310709819,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,canon,9,0.0035292959,1.0456085616,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3031,0.0052304658,1.0499972649,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3032,-0.0112031242,1.0535630863,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3033,0.0021155521,1.0554831440,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3034,0.0027026879,1.0820896578,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3035,-0.0147704119,1.0505458528,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3036,0.0134606075,1.0307966880,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3037,0.0057969012,1.0266822786,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3038,0.0062284131,1.0532887924,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3039,-0.0193053380,1.0469800314,0.000e+00
ENDOGENE,U_0.55,0.550000,-0.145800,replication,3040,0.0132428091,1.0530144984,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,0,0.0104414325,1.1377713309,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,1,0.0034965664,1.2162194025,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,2,0.0012787905,1.3443146801,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,3,0.0107761054,1.1026617045,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,4,0.0015629178,1.3215482817,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,5,0.0088382065,1.3626923751,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,6,-0.0041751133,1.3196282240,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,7,-0.0005000825,1.1298168062,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,8,0.0058164367,1.0856554792,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,canon,9,0.0240529723,1.2022304107,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3031,0.0024149175,1.2225281635,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3032,0.0121081770,1.2982332954,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3033,0.0016190004,1.0771523666,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3034,0.0016169577,1.2694324300,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3035,-0.0024028396,1.1660236084,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3036,-0.0046109166,1.1833041277,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3037,0.0176738680,1.3415717405,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3038,0.0093986493,1.2159451085,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3039,-0.0043499966,1.2398086827,0.000e+00
ENDOGENE,U_0.70,0.700000,-0.546893,replication,3040,0.0004750289,1.4024649988,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,0,-0.0006960669,1.1654750205,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,1,0.0001470624,1.3155138147,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,2,-0.0013821641,1.3028962927,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,3,0.0010673551,1.1967445316,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,4,-0.0127298070,1.3179824603,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,5,0.0002592152,1.3223711636,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,6,0.0081954582,1.3418460345,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,7,0.0031005436,1.2315798640,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,8,0.0080799256,1.1248795150,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,canon,9,-0.0031868920,1.1838527156,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3031,-0.0033279998,1.1800126002,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3032,-0.0014828006,1.2088134656,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3033,-0.0138797022,1.1429829161,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3034,0.0032636690,1.3739384274,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3035,-0.0006923515,1.2249968091,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3036,-0.0010983524,1.3212739877,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3037,-0.0050243664,1.3478805015,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3038,-0.0024993187,1.1717837815,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3039,-0.0066182607,1.3421203284,0.000e+00
ENDOGENE,U_0.85,0.850000,-0.790340,replication,3040,0.0005031925,1.3758584851,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,0,-0.0058314065,1.1687665480,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,1,-0.0089236926,1.2765640729,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,2,-0.0169961961,1.3297771004,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,3,-0.0016592167,1.1879671250,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,4,-0.0095958809,1.2894558888,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,5,-0.0022248244,1.3023477047,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,6,-0.0105285085,1.4296201005,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,7,-0.0090522293,1.2203338118,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,8,-0.0086545179,1.1210393996,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,canon,9,0.0121752337,1.2142993448,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3031,-0.0021597653,1.1701380178,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3032,-0.0055301497,1.2148479327,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3033,0.0042638453,1.1353026853,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3034,0.0084976356,1.3530920867,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3035,-0.0116366534,1.2954903558,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3036,0.0094030782,1.2889073009,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3037,0.0062344347,1.3487033834,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3038,0.0217315885,1.1704123117,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3039,0.0005715371,1.4008192351,0.000e+00
ENDOGENE,U_BAR,0.825991,-0.761544,replication,3040,0.0120274040,1.3640638449,0.000e+00
FORCE,FULL,,,canon,0,0.0121718629,1.0782495424,9.500e-01
FORCE,FULL,,,canon,1,0.0041773099,1.0543859682,9.500e-01
FORCE,FULL,,,canon,2,-0.0086564658,1.1054046441,9.500e-01
FORCE,FULL,,,canon,3,-0.0006693604,1.1073247018,9.500e-01
FORCE,FULL,,,canon,4,0.0035310102,1.0793467182,9.500e-01
FORCE,FULL,,,canon,5,-0.0033938909,1.1054046441,9.500e-01
FORCE,FULL,,,canon,6,0.0210624801,1.1018388227,9.500e-01
FORCE,FULL,,,canon,7,-0.0098278862,1.1353026853,9.500e-01
FORCE,FULL,,,canon,8,-0.0009874356,1.0974501194,9.500e-01
FORCE,FULL,,,canon,9,0.0057092854,1.0985472952,9.500e-01
FORCE,FULL,,,replication,3031,-0.0087245470,1.0873012430,9.500e-01
FORCE,FULL,,,replication,3032,-0.0064716960,1.0859297732,9.500e-01
FORCE,FULL,,,replication,3033,-0.0042778323,1.0785238364,9.500e-01
FORCE,FULL,,,replication,3034,-0.0009402414,1.0842840095,9.500e-01
FORCE,FULL,,,replication,3035,-0.0052254437,1.1075989957,9.500e-01
FORCE,FULL,,,replication,3036,0.0040379656,1.0988215891,9.500e-01
FORCE,FULL,,,replication,3037,0.0017597761,1.1054046441,9.500e-01
FORCE,FULL,,,replication,3038,0.0069214541,1.0790724243,9.500e-01
FORCE,FULL,,,replication,3039,0.0054985442,1.0873012430,9.500e-01
FORCE,FULL,,,replication,3040,0.0038755672,1.0908670644,9.500e-01
FORCE,U_0.05,0.050000,0.898281,canon,0,0.6976088479,1.6035224688,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,1,0.7793044378,1.6070882903,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,2,0.6461589766,1.5977622957,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,3,0.6725122263,1.6035224688,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,4,0.5521184895,1.5974880018,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,5,0.7375119022,1.6035224688,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,6,0.8302483736,1.6007795293,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,7,0.6231022315,1.6120255815,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,8,0.7807115927,1.6059911144,0.000e+00
FORCE,U_0.05,0.050000,0.898281,canon,9,0.6475224862,1.5928250045,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3031,0.7228968868,1.6166885787,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3032,0.7334628286,1.6109284056,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3033,0.5599587141,1.6032481749,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3034,0.6216607129,1.6054425265,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3035,0.4608343764,1.6054425265,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3036,0.7142745190,1.5983108837,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3037,0.7593189998,1.6037967628,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3038,0.5021608871,1.6103798177,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3039,0.8039953838,1.6046196446,0.000e+00
FORCE,U_0.05,0.050000,0.898281,replication,3040,0.6976877160,1.6120255815,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,0,0.3466499976,1.5834990100,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,1,0.5212477278,1.5834990100,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,2,0.3674412570,1.5771902490,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,3,0.3868662278,1.5815789523,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,4,0.3028505629,1.5843218919,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,5,0.4605994347,1.5744473094,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,6,0.5748038603,1.5832247161,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,7,0.4262197962,1.5832247161,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,8,0.5373477856,1.5843218919,0.000e+00
FORCE,U_0.30,0.300000,0.566893,canon,9,0.3089543146,1.5755444853,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3031,0.3800774473,1.5977622957,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3032,0.4588567053,1.5807560704,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3033,0.3248121439,1.5788360127,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3034,0.3492394722,1.5933735924,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3035,0.2359741444,1.5769159551,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3036,0.4858645504,1.5769159551,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3037,0.4469602871,1.5854190677,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3038,0.2768993582,1.5876134194,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3039,0.6080984297,1.5758187792,0.000e+00
FORCE,U_0.30,0.300000,0.566893,replication,3040,0.4428649289,1.5903563589,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,0,0.0556522836,1.5590868479,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,1,0.0941262665,1.5563439083,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,2,0.0761600318,1.5588125539,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,3,0.1058433282,1.5596354358,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,4,0.0677764249,1.5596354358,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,5,0.1049589763,1.5604583177,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,6,0.1228173666,1.5585382600,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,7,0.0899919151,1.5588125539,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,8,0.0935255552,1.5566182023,0.000e+00
FORCE,U_0.45,0.450000,0.165800,canon,9,0.0596394400,1.5610069056,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3031,0.0544782062,1.5662184908,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3032,0.0843837009,1.5653956089,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3033,0.0546162460,1.5574410842,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3034,0.0730797197,1.5664927847,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3035,0.0129030166,1.5626526693,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3036,0.1178724521,1.5621040814,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3037,0.0982815821,1.5621040814,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3038,0.0622586444,1.5689614303,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3039,0.0777456330,1.5626526693,0.000e+00
FORCE,U_0.45,0.450000,0.165800,replication,3040,0.1084741160,1.5741730155,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,0,0.0129870909,1.5563439083,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,1,0.0182623554,1.5475665017,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,2,0.0334769853,1.5453721501,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,3,0.0539546428,1.5492122655,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,4,0.0121613423,1.5530523809,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,5,0.0378846478,1.5530523809,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,6,0.0271977408,1.5481150896,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,7,0.0205837070,1.5525037929,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,8,0.0224359015,1.5450978561,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,canon,9,0.0248756659,1.5519552050,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3031,0.0060048692,1.5489379715,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3032,0.0313551687,1.5511323232,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3033,0.0218167935,1.5437263863,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3034,0.0382330921,1.5615554935,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3035,-0.0073035997,1.5514066171,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3036,0.0243464715,1.5497608534,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3037,0.0108968506,1.5429035045,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3038,0.0148424503,1.5560696144,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3039,0.0130886068,1.5481150896,0.000e+00
FORCE,U_0.55,0.550000,-0.145800,replication,3040,0.0207749101,1.5566182023,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,0,0.0216818317,1.0793467182,0.000e+00
FORCE,U_0.70,0.700000,-0.546893,canon,1,0.0118734807,1.0442370918,0.000e+00
