condition,tau_mat,n_seeds,delta_h_mean,delta_h_std,i_eff_max_mean,transmission_pred
ELEC,,10,-0.7644806346768787,0.32028045870125854,1.5,1.0
GST_tau0,0,10,-0.791644089015174,0.31224181469887374,1.4573999561313615,1.0
GST_tau1,1,10,-0.791644089015174,0.31224181469887374,1.4573999561313615,1.0
GST_tau3,3,10,-0.7351543573514752,0.3676743331299136,1.3081403893138766,1.0
GST_tau10,10,10,-0.8108498241790307,0.343442387600714,1.2441057652596657,0.9999996940976795
GST_tau30,30,10,-0.7573932604314493,0.30280169932869044,1.184468017423152,0.9932620530009145
GST_tau100,100,10,-0.7459370588002739,0.31645136851773875,0.9215484777347127,0.7768698398515702
GST_tau300,300,10,-0.7944339414990648,0.33203511852410444,0.46676304777209887,0.3934693402873666
