part,seed,b,delay,readout,correct
B,3,1,400,PHASE_UC,1
B,3,1,400,V_STATE,0
B,3,1,400,U_SCALAR,1
B,3,1,600,PHASE_UC,1
B,3,1,600,V_STATE,0
B,3,1,600,U_SCALAR,1
B,3,1,900,PHASE_UC,1
B,3,1,900,V_STATE,1
B,3,1,900,U_SCALAR,1
B,3,1,1200,PHASE_UC,1
B,3,1,1200,V_STATE,1
B,3,1,1200,U_SCALAR,1
B,3,1,1800,PHASE_UC,1
B,3,1,1800,V_STATE,1
B,3,1,1800,U_SCALAR,1
B,3,1,2400,PHASE_UC,1
B,3,1,2400,V_STATE,1
B,3,1,2400,U_SCALAR,1
B,4,-1,100,PHASE_UC,1
B,4,-1,100,V_STATE,0
B,4,-1,100,U_SCALAR,1
B,4,-1,200,PHASE_UC,1
B,4,-1,200,V_STATE,0
B,4,-1,200,U_SCALAR,1
B,4,-1,400,PHASE_UC,0
B,4,-1,400,V_STATE,0
B,4,-1,400,U_SCALAR,0
B,4,-1,600,PHASE_UC,0
B,4,-1,600,V_STATE,1
B,4,-1,600,U_SCALAR,0
B,4,-1,900,PHASE_UC,1
B,4,-1,900,V_STATE,1
B,4,-1,900,U_SCALAR,0
B,4,-1,1200,PHASE_UC,1
B,4,-1,1200,V_STATE,1
B,4,-1,1200,U_SCALAR,0
B,4,-1,1800,PHASE_UC,1
B,4,-1,1800,V_STATE,0
B,4,-1,1800,U_SCALAR,0
B,4,-1,2400,PHASE_UC,1
B,4,-1,2400,V_STATE,0
B,4,-1,2400,U_SCALAR,0
B,4,1,100,PHASE_UC,1
B,4,1,100,V_STATE,0
B,4,1,100,U_SCALAR,1
B,4,1,200,PHASE_UC,1
B,4,1,200,V_STATE,0
B,4,1,200,U_SCALAR,1
B,4,1,400,PHASE_UC,1
B,4,1,400,V_STATE,0
B,4,1,400,U_SCALAR,1
B,4,1,600,PHASE_UC,1
B,4,1,600,V_STATE,0
B,4,1,600,U_SCALAR,1
B,4,1,900,PHASE_UC,1
B,4,1,900,V_STATE,1
B,4,1,900,U_SCALAR,1
B,4,1,1200,PHASE_UC,1
B,4,1,1200,V_STATE,1
B,4,1,1200,U_SCALAR,1
B,4,1,1800,PHASE_UC,1
B,4,1,1800,V_STATE,1
B,4,1,1800,U_SCALAR,1
B,4,1,2400,PHASE_UC,1
B,4,1,2400,V_STATE,1
B,4,1,2400,U_SCALAR,1
B,5,-1,100,PHASE_UC,1
B,5,-1,100,V_STATE,0
B,5,-1,100,U_SCALAR,1
B,5,-1,200,PHASE_UC,1
B,5,-1,200,V_STATE,0
B,5,-1,200,U_SCALAR,0
B,5,-1,400,PHASE_UC,0
B,5,-1,400,V_STATE,0
B,5,-1,400,U_SCALAR,0
B,5,-1,600,PHASE_UC,0
B,5,-1,600,V_STATE,1
B,5,-1,600,U_SCALAR,0
B,5,-1,900,PHASE_UC,1
B,5,-1,900,V_STATE,1
B,5,-1,900,U_SCALAR,0
B,5,-1,1200,PHASE_UC,0
B,5,-1,1200,V_STATE,0
B,5,-1,1200,U_SCALAR,0
B,5,-1,1800,PHASE_UC,0
B,5,-1,1800,V_STATE,0
B,5,-1,1800,U_SCALAR,0
B,5,-1,2400,PHASE_UC,0
B,5,-1,2400,V_STATE,0
B,5,-1,2400,U_SCALAR,0
B,5,1,100,PHASE_UC,1
B,5,1,100,V_STATE,0
B,5,1,100,U_SCALAR,1
B,5,1,200,PHASE_UC,1
B,5,1,200,V_STATE,0
B,5,1,200,U_SCALAR,1
B,5,1,400,PHASE_UC,1
B,5,1,400,V_STATE,0
B,5,1,400,U_SCALAR,1
B,5,1,600,PHASE_UC,1
B,5,1,600,V_STATE,1
B,5,1,600,U_SCALAR,1
B,5,1,900,PHASE_UC,1
B,5,1,900,V_STATE,1
B,5,1,900,U_SCALAR,1
B,5,1,1200,PHASE_UC,1
B,5,1,1200,V_STATE,1
B,5,1,1200,U_SCALAR,1
B,5,1,1800,PHASE_UC,1
B,5,1,1800,V_STATE,1
B,5,1,1800,U_SCALAR,1
B,5,1,2400,PHASE_UC,1
B,5,1,2400,V_STATE,1
B,5,1,2400,U_SCALAR,1
B,6,-1,100,PHASE_UC,1
B,6,-1,100,V_STATE,0
B,6,-1,100,U_SCALAR,0
B,6,-1,200,PHASE_UC,1
B,6,-1,200,V_STATE,0
B,6,-1,200,U_SCALAR,0
B,6,-1,400,PHASE_UC,1
B,6,-1,400,V_STATE,0
B,6,-1,400,U_SCALAR,0
B,6,-1,600,PHASE_UC,1
B,6,-1,600,V_STATE,1
B,6,-1,600,U_SCALAR,0
B,6,-1,900,PHASE_UC,1
B,6,-1,900,V_STATE,1
B,6,-1,900,U_SCALAR,0
B,6,-1,1200,PHASE_UC,1
B,6,-1,1200,V_STATE,1
B,6,-1,1200,U_SCALAR,0
B,6,-1,1800,PHASE_UC,1
B,6,-1,1800,V_STATE,0
B,6,-1,1800,U_SCALAR,0
B,6,-1,2400,PHASE_UC,1
B,6,-1,2400,V_STATE,1
B,6,-1,2400,U_SCALAR,0
B,6,1,100,PHASE_UC,1
B,6,1,100,V_STATE,0
B,6,1,100,U_SCALAR,1
B,6,1,200,PHASE_UC,1
B,6,1,200,V_STATE,0
B,6,1,200,U_SCALAR,1
B,6,1,400,PHASE_UC,1
B,6,1,400,V_STATE,0
B,6,1,400,U_SCALAR,1
B,6,1,600,PHASE_UC,1
B,6,1,600,V_STATE,0
B,6,1,600,U_SCALAR,1
B,6,1,900,PHASE_UC,1
B,6,1,900,V_STATE,1
B,6,1,900,U_SCALAR,1
B,6,1,1200,PHASE_UC,1
B,6,1,1200,V_STATE,1
B,6,1,1200,U_SCALAR,1
B,6,1,1800,PHASE_UC,1
B,6,1,1800,V_STATE,1
B,6,1,1800,U_SCALAR,1
B,6,1,2400,PHASE_UC,1
B,6,1,2400,V_STATE,1
B,6,1,2400,U_SCALAR,1
B,7,-1,100,PHASE_UC,1
B,7,-1,100,V_STATE,0
B,7,-1,100,U_SCALAR,1
B,7,-1,200,PHASE_UC,1
B,7,-1,200,V_STATE,0
B,7,-1,200,U_SCALAR,1
B,7,-1,400,PHASE_UC,0
B,7,-1,400,V_STATE,0
B,7,-1,400,U_SCALAR,0
B,7,-1,600,PHASE_UC,0
B,7,-1,600,V_STATE,1
B,7,-1,600,U_SCALAR,0
B,7,-1,900,PHASE_UC,1
B,7,-1,900,V_STATE,1
B,7,-1,900,U_SCALAR,1
B,7,-1,1200,PHASE_UC,1
B,7,-1,1200,V_STATE,0
B,7,-1,1200,U_SCALAR,0
B,7,-1,1800,PHASE_UC,0
B,7,-1,1800,V_STATE,0
B,7,-1,1800,U_SCALAR,0
B,7,-1,2400,PHASE_UC,0
B,7,-1,2400,V_STATE,1
B,7,-1,2400,U_SCALAR,0
B,7,1,100,PHASE_UC,1
B,7,1,100,V_STATE,0
B,7,1,100,U_SCALAR,1
B,7,1,200,PHASE_UC,1
B,7,1,200,V_STATE,0
B,7,1,200,U_SCALAR,1
B,7,1,400,PHASE_UC,1
B,7,1,400,V_STATE,0
B,7,1,400,U_SCALAR,1
B,7,1,600,PHASE_UC,1
B,7,1,600,V_STATE,1
B,7,1,600,U_SCALAR,1
B,7,1,900,PHASE_UC,1
B,7,1,900,V_STATE,1
B,7,1,900,U_SCALAR,1
B,7,1,1200,PHASE_UC,1
B,7,1,1200,V_STATE,1
B,7,1,1200,U_SCALAR,1
B,7,1,1800,PHASE_UC,1
B,7,1,1800,V_STATE,1
B,7,1,1800,U_SCALAR,1
B,7,1,2400,PHASE_UC,1
B,7,1,2400,V_STATE,1
B,7,1,2400,U_SCALAR,1
B,8,-1,100,PHASE_UC,1
B,8,-1,100,V_STATE,0
B,8,-1,100,U_SCALAR,1
B,8,-1,200,PHASE_UC,1
B,8,-1,200,V_STATE,0
B,8,-1,200,U_SCALAR,1
B,8,-1,400,PHASE_UC,0
B,8,-1,400,V_STATE,0
B,8,-1,400,U_SCALAR,0
B,8,-1,600,PHASE_UC,0
B,8,-1,600,V_STATE,1
B,8,-1,600,U_SCALAR,0
B,8,-1,900,PHASE_UC,1
B,8,-1,900,V_STATE,1
B,8,-1,900,U_SCALAR,1
B,8,-1,1200,PHASE_UC,1
B,8,-1,1200,V_STATE,0
B,8,-1,1200,U_SCALAR,1
B,8,-1,1800,PHASE_UC,1
B,8,-1,1800,V_STATE,1
B,8,-1,1800,U_SCALAR,1
B,8,-1,2400,PHASE_UC,1
B,8,-1,2400,V_STATE,1
B,8,-1,2400,U_SCALAR,1
B,8,1,100,PHASE_UC,1
B,8,1,100,V_STATE,0
B,8,1,100,U_SCALAR,1
B,8,1,200,PHASE_UC,1
B,8,1,200,V_STATE,0
B,8,1,200,U_SCALAR,1
B,8,1,400,PHASE_UC,1
B,8,1,400,V_STATE,0
B,8,1,400,U_SCALAR,1
B,8,1,600,PHASE_UC,1
B,8,1,600,V_STATE,0
B,8,1,600,U_SCALAR,1
B,8,1,900,PHASE_UC,1
B,8,1,900,V_STATE,1
B,8,1,900,U_SCALAR,1
B,8,1,1200,PHASE_UC,1
B,8,1,1200,V_STATE,1
B,8,1,1200,U_SCALAR,1
B,8,1,1800,PHASE_UC,1
B,8,1,1800,V_STATE,1
B,8,1,1800,U_SCALAR,1
B,8,1,2400,PHASE_UC,1
B,8,1,2400,V_STATE,1
B,8,1,2400,U_SCALAR,1
B,9,-1,100,PHASE_UC,1
B,9,-1,100,V_STATE,0
B,9,-1,100,U_SCALAR,0
B,9,-1,200,PHASE_UC,1
B,9,-1,200,V_STATE,0
B,9,-1,200,U_SCALAR,0
B,9,-1,400,PHASE_UC,0
B,9,-1,400,V_STATE,1
B,9,-1,400,U_SCALAR,0
B,9,-1,600,PHASE_UC,0
B,9,-1,600,V_STATE,1
B,9,-1,600,U_SCALAR,0
B,9,-1,900,PHASE_UC,1
B,9,-1,900,V_STATE,1
B,9,-1,900,U_SCALAR,0
B,9,-1,1200,PHASE_UC,1
B,9,-1,1200,V_STATE,0
B,9,-1,1200,U_SCALAR,0
B,9,-1,1800,PHASE_UC,0
B,9,-1,1800,V_STATE,0
B,9,-1,1800,U_SCALAR,0
B,9,-1,2400,PHASE_UC,0
B,9,-1,2400,V_STATE,0
B,9,-1,2400,U_SCALAR,0
B,9,1,100,PHASE_UC,1
B,9,1,100,V_STATE,0
B,9,1,100,U_SCALAR,1
B,9,1,200,PHASE_UC,1
B,9,1,200,V_STATE,0
B,9,1,200,U_SCALAR,1
B,9,1,400,PHASE_UC,1
B,9,1,400,V_STATE,0
B,9,1,400,U_SCALAR,1
B,9,1,600,PHASE_UC,1
B,9,1,600,V_STATE,0
B,9,1,600,U_SCALAR,1
B,9,1,900,PHASE_UC,1
B,9,1,900,V_STATE,0
B,9,1,900,U_SCALAR,1
B,9,1,1200,PHASE_UC,0
B,9,1,1200,V_STATE,0
B,9,1,1200,U_SCALAR,1
B,9,1,1800,PHASE_UC,1
B,9,1,1800,V_STATE,1
B,9,1,1800,U_SCALAR,1
B,9,1,2400,PHASE_UC,1
B,9,1,2400,V_STATE,1
B,9,1,2400,U_SCALAR,1
B,10,-1,100,PHASE_UC,1
B,10,-1,100,V_STATE,0
B,10,-1,100,U_SCALAR,1
B,10,-1,200,PHASE_UC,1
B,10,-1,200,V_STATE,0
B,10,-1,200,U_SCALAR,0
B,10,-1,400,PHASE_UC,0
B,10,-1,400,V_STATE,0
B,10,-1,400,U_SCALAR,0
B,10,-1,600,PHASE_UC,0
B,10,-1,600,V_STATE,1
B,10,-1,600,U_SCALAR,0
B,10,-1,900,PHASE_UC,1
B,10,-1,900,V_STATE,1
B,10,-1,900,U_SCALAR,0
B,10,-1,1200,PHASE_UC,1
B,10,-1,1200,V_STATE,1
B,10,-1,1200,U_SCALAR,0
B,10,-1,1800,PHASE_UC,1
B,10,-1,1800,V_STATE,1
B,10,-1,1800,U_SCALAR,0
B,10,-1,2400,PHASE_UC,1
B,10,-1,2400,V_STATE,0
B,10,-1,2400,U_SCALAR,0
B,10,1,100,PHASE_UC,1
B,10,1,100,V_STATE,0
B,10,1,100,U_SCALAR,1
B,10,1,200,PHASE_UC,1
B,10,1,200,V_STATE,0
B,10,1,200,U_SCALAR,1
B,10,1,400,PHASE_UC,1
B,10,1,400,V_STATE,0
B,10,1,400,U_SCALAR,1
B,10,1,600,PHASE_UC,1
B,10,1,600,V_STATE,0
B,10,1,600,U_SCALAR,1
B,10,1,900,PHASE_UC,1
B,10,1,900,V_STATE,1
B,10,1,900,U_SCALAR,1
B,10,1,1200,PHASE_UC,1
B,10,1,1200,V_STATE,1
B,10,1,1200,U_SCALAR,1
B,10,1,1800,PHASE_UC,1
B,10,1,1800,V_STATE,1
B,10,1,1800,U_SCALAR,1
B,10,1,2400,PHASE_UC,1
B,10,1,2400,V_STATE,1
B,10,1,2400,U_SCALAR,1
B,11,-1,100,PHASE_UC,1
B,11,-1,100,V_STATE,0
B,11,-1,100,U_SCALAR,1
B,11,-1,200,PHASE_UC,1
B,11,-1,200,V_STATE,0
B,11,-1,200,U_SCALAR,1
B,11,-1,400,PHASE_UC,0
B,11,-1,400,V_STATE,0
B,11,-1,400,U_SCALAR,0
B,11,-1,600,PHASE_UC,0
B,11,-1,600,V_STATE,1
B,11,-1,600,U_SCALAR,0
B,11,-1,900,PHASE_UC,1
B,11,-1,900,V_STATE,1
B,11,-1,900,U_SCALAR,0
B,11,-1,1200,PHASE_UC,1
B,11,-1,1200,V_STATE,0
B,11,-1,1200,U_SCALAR,0
B,11,-1,1800,PHASE_UC,1
B,11,-1,1800,V_STATE,1
B,11,-1,1800,U_SCALAR,0
B,11,-1,2400,PHASE_UC,1
B,11,-1,2400,V_STATE,0
B,11,-1,2400,U_SCALAR,0
B,11,1,100,PHASE_UC,1
B,11,1,100,V_STATE,0
B,11,1,100,U_SCALAR,1
B,11,1,200,PHASE_UC,1
B,11,1,200,V_STATE,0
B,11,1,200,U_SCALAR,1
B,11,1,400,PHASE_UC,1
B,11,1,400,V_STATE,0
B,11,1,400,U_SCALAR,1
B,11,1,600,PHASE_UC,1
B,11,1,600,V_STATE,0
B,11,1,600,U_SCALAR,1
B,11,1,900,PHASE_UC,1
B,11,1,900,V_STATE,1
B,11,1,900,U_SCALAR,1
B,11,1,1200,PHASE_UC,1
B,11,1,1200,V_STATE,1
B,11,1,1200,U_SCALAR,1
B,11,1,1800,PHASE_UC,1
B,11,1,1800,V_STATE,1
B,11,1,1800,U_SCALAR,1
B,11,1,2400,PHASE_UC,1
B,11,1,2400,V_STATE,1
B,11,1,2400,U_SCALAR,1
B,12,-1,100,PHASE_UC,1
B,12,-1,100,V_STATE,0
B,12,-1,100,U_SCALAR,1
B,12,-1,200,PHASE_UC,1
B,12,-1,200,V_STATE,0
B,12,-1,200,U_SCALAR,1
B,12,-1,400,PHASE_UC,0
B,12,-1,400,V_STATE,0
B,12,-1,400,U_SCALAR,0
B,12,-1,600,PHASE_UC,1
B,12,-1,600,V_STATE,1
B,12,-1,600,U_SCALAR,0
B,12,-1,900,PHASE_UC,1
B,12,-1,900,V_STATE,1
B,12,-1,900,U_SCALAR,0
B,12,-1,1200,PHASE_UC,1
B,12,-1,1200,V_STATE,0
B,12,-1,1200,U_SCALAR,0
B,12,-1,1800,PHASE_UC,1
B,12,-1,1800,V_STATE,0
B,12,-1,1800,U_SCALAR,0
B,12,-1,2400,PHASE_UC,1
B,12,-1,2400,V_STATE,0
B,12,-1,2400,U_SCALAR,0
B,12,1,100,PHASE_UC,1
B,12,1,100,V_STATE,0
B,12,1,100,U_SCALAR,1
B,12,1,200,PHASE_UC,1
B,12,1,200,V_STATE,0
B,12,1,200,U_SCALAR,1
B,12,1,400,PHASE_UC,1
B,12,1,400,V_STATE,0
B,12,1,400,U_SCALAR,1
B,12,1,600,PHASE_UC,1
B,12,1,600,V_STATE,0
B,12,1,600,U_SCALAR,1
B,12,1,900,PHASE_UC,1
B,12,1,900,V_STATE,1
B,12,1,900,U_SCALAR,1
B,12,1,1200,PHASE_UC,1
B,12,1,1200,V_STATE,1
B,12,1,1200,U_SCALAR,1
B,12,1,1800,PHASE_UC,1
B,12,1,1800,V_STATE,1
B,12,1,1800,U_SCALAR,1
B,12,1,2400,PHASE_UC,1
B,12,1,2400,V_STATE,1
B,12,1,2400,U_SCALAR,1
B,13,-1,100,PHASE_UC,1
B,13,-1,100,V_STATE,0
B,13,-1,100,U_SCALAR,1
B,13,-1,200,PHASE_UC,1
B,13,-1,200,V_STATE,0
B,13,-1,200,U_SCALAR,0
B,13,-1,400,PHASE_UC,0
B,13,-1,400,V_STATE,0
B,13,-1,400,U_SCALAR,0
B,13,-1,600,PHASE_UC,0
B,13,-1,600,V_STATE,1
B,13,-1,600,U_SCALAR,0
B,13,-1,900,PHASE_UC,1
B,13,-1,900,V_STATE,1
B,13,-1,900,U_SCALAR,0
B,13,-1,1200,PHASE_UC,1
B,13,-1,1200,V_STATE,0
B,13,-1,1200,U_SCALAR,0
B,13,-1,1800,PHASE_UC,1
B,13,-1,1800,V_STATE,0
B,13,-1,1800,U_SCALAR,0
B,13,-1,2400,PHASE_UC,1
B,13,-1,2400,V_STATE,0
B,13,-1,2400,U_SCALAR,0
B,13,1,100,PHASE_UC,1
B,13,1,100,V_STATE,0
B,13,1,100,U_SCALAR,1
B,13,1,200,PHASE_UC,1
B,13,1,200,V_STATE,0
B,13,1,200,U_SCALAR,1
B,13,1,400,PHASE_UC,1
B,13,1,400,V_STATE,0
B,13,1,400,U_SCALAR,1
B,13,1,600,PHASE_UC,1
B,13,1,600,V_STATE,0
B,13,1,600,U_SCALAR,1
B,13,1,900,PHASE_UC,1
B,13,1,900,V_STATE,1
B,13,1,900,U_SCALAR,1
B,13,1,1200,PHASE_UC,1
B,13,1,1200,V_STATE,1
B,13,1,1200,U_SCALAR,1
B,13,1,1800,PHASE_UC,1
B,13,1,1800,V_STATE,1
B,13,1,1800,U_SCALAR,1
B,13,1,2400,PHASE_UC,1
B,13,1,2400,V_STATE,1
B,13,1,2400,U_SCALAR,1
B,14,-1,100,PHASE_UC,1
B,14,-1,100,V_STATE,0
B,14,-1,100,U_SCALAR,1
B,14,-1,200,PHASE_UC,1
B,14,-1,200,V_STATE,0
B,14,-1,200,U_SCALAR,0
B,14,-1,400,PHASE_UC,0
B,14,-1,400,V_STATE,0
B,14,-1,400,U_SCALAR,0
B,14,-1,600,PHASE_UC,0
B,14,-1,600,V_STATE,1
B,14,-1,600,U_SCALAR,0
B,14,-1,900,PHASE_UC,0
B,14,-1,900,V_STATE,1
B,14,-1,900,U_SCALAR,0
B,14,-1,1200,PHASE_UC,0
B,14,-1,1200,V_STATE,0
B,14,-1,1200,U_SCALAR,0
B,14,-1,1800,PHASE_UC,0
B,14,-1,1800,V_STATE,0
B,14,-1,1800,U_SCALAR,0
B,14,-1,2400,PHASE_UC,0
B,14,-1,2400,V_STATE,0
B,14,-1,2400,U_SCALAR,0
B,14,1,100,PHASE_UC,1
B,14,1,100,V_STATE,0
B,14,1,100,U_SCALAR,1
B,14,1,200,PHASE_UC,1
B,14,1,200,V_STATE,0
B,14,1,200,U_SCALAR,1
B,14,1,400,PHASE_UC,1
B,14,1,400,V_STATE,0
B,14,1,400,U_SCALAR,1
B,14,1,600,PHASE_UC,1
B,14,1,600,V_STATE,0
B,14,1,600,U_SCALAR,1
B,14,1,900,PHASE_UC,1
B,14,1,900,V_STATE,1
B,14,1,900,U_SCALAR,1
B,14,1,1200,PHASE_UC,1
B,14,1,1200,V_STATE,1
B,14,1,1200,U_SCALAR,1
B,14,1,1800,PHASE_UC,1
B,14,1,1800,V_STATE,1
B,14,1,1800,U_SCALAR,1
B,14,1,2400,PHASE_UC,1
B,14,1,2400,V_STATE,1
B,14,1,2400,U_SCALAR,1
B,15,-1,100,PHASE_UC,1
B,15,-1,100,V_STATE,0
B,15,-1,100,U_SCALAR,1
B,15,-1,200,PHASE_UC,1
B,15,-1,200,V_STATE,0
B,15,-1,200,U_SCALAR,1
B,15,-1,400,PHASE_UC,0
B,15,-1,400,V_STATE,0
B,15,-1,400,U_SCALAR,0
B,15,-1,600,PHASE_UC,0
B,15,-1,600,V_STATE,1
B,15,-1,600,U_SCALAR,0
B,15,-1,900,PHASE_UC,1
B,15,-1,900,V_STATE,1
B,15,-1,900,U_SCALAR,0
B,15,-1,1200,PHASE_UC,1
B,15,-1,1200,V_STATE,0
B,15,-1,1200,U_SCALAR,1
B,15,-1,1800,PHASE_UC,1
B,15,-1,1800,V_STATE,0
B,15,-1,1800,U_SCALAR,0
B,15,-1,2400,PHASE_UC,1
B,15,-1,2400,V_STATE,1
B,15,-1,2400,U_SCALAR,0
B,15,1,100,PHASE_UC,1
B,15,1,100,V_STATE,0
B,15,1,100,U_SCALAR,1
B,15,1,200,PHASE_UC,1
B,15,1,200,V_STATE,0
B,15,1,200,U_SCALAR,1
B,15,1,400,PHASE_UC,1
B,15,1,400,V_STATE,0
B,15,1,400,U_SCALAR,1
B,15,1,600,PHASE_UC,1
B,15,1,600,V_STATE,0
B,15,1,600,U_SCALAR,1
B,15,1,900,PHASE_UC,1
B,15,1,900,V_STATE,1
B,15,1,900,U_SCALAR,1
B,15,1,1200,PHASE_UC,1
B,15,1,1200,V_STATE,1
B,15,1,1200,U_SCALAR,1
B,15,1,1800,PHASE_UC,1
B,15,1,1800,V_STATE,1
B,15,1,1800,U_SCALAR,1
B,15,1,2400,PHASE_UC,1
B,15,1,2400,V_STATE,1
