i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.00,0.650,-0.429200,canon,0,0.0164660384,1.1451772678,0.000e+00
0.00,0.650,-0.429200,canon,1,0.0030969162,1.2030532926,0.000e+00
0.00,0.650,-0.429200,canon,2,-0.0017977390,1.3358115674,0.000e+00
0.00,0.650,-0.429200,canon,3,0.0108101270,1.1641035507,0.000e+00
0.00,0.650,-0.429200,canon,4,0.0014626871,1.3558350262,0.000e+00
0.00,0.650,-0.429200,canon,5,0.0108933332,1.3657096087,0.000e+00
0.00,0.650,-0.429200,canon,6,-0.0040706755,1.3454118559,0.000e+00
0.00,0.650,-0.429200,canon,7,-0.0004296251,1.1550518502,0.000e+00
0.00,0.650,-0.429200,canon,8,0.0053983763,1.0982730012,0.000e+00
0.00,0.650,-0.429200,canon,9,0.0231091276,1.2145736387,0.000e+00
0.00,0.800,-0.726359,canon,0,0.0133864388,1.2222538695,0.000e+00
0.00,0.800,-0.726359,canon,1,0.0018079713,1.2639465509,0.000e+00
0.00,0.800,-0.726359,canon,2,0.0009219839,1.3632409631,0.000e+00
0.00,0.800,-0.726359,canon,3,0.0107295595,1.0831868336,0.000e+00
0.00,0.800,-0.726359,canon,4,0.0019779349,1.2343228036,0.000e+00
0.00,0.800,-0.726359,canon,5,0.0156884191,1.3146909328,0.000e+00
0.00,0.800,-0.726359,canon,6,-0.0049680154,1.2694324300,0.000e+00
0.00,0.800,-0.726359,canon,7,0.0002191150,1.1273481606,0.000e+00
0.00,0.800,-0.726359,canon,8,0.0058697119,1.0996444710,0.000e+00
0.00,0.800,-0.726359,canon,9,0.0197132107,1.1534060865,0.000e+00
0.00,0.950,-0.878281,canon,0,0.0073688998,1.1942758859,0.000e+00
0.00,0.950,-0.878281,canon,1,-0.0040037193,1.2905530646,0.000e+00
0.00,0.950,-0.878281,canon,2,0.0079198857,1.3160624026,0.000e+00
0.00,0.950,-0.878281,canon,3,0.0083685021,1.1350283914,0.000e+00
0.00,0.950,-0.878281,canon,4,-0.0035924405,1.2293855124,0.000e+00
0.00,0.950,-0.878281,canon,5,-0.0004511597,1.2282883365,0.000e+00
0.00,0.950,-0.878281,canon,6,-0.0029819699,1.2617521992,0.000e+00
0.00,0.950,-0.878281,canon,7,0.0119265170,1.1890643008,0.000e+00
0.00,0.950,-0.878281,canon,8,-0.0012529394,1.1199422238,0.000e+00
0.00,0.950,-0.878281,canon,9,-0.0007161357,1.1671207843,0.000e+00
0.10,0.050,0.898281,canon,0,0.4621800292,1.5291888067,0.000e+00
0.10,0.050,0.898281,canon,1,0.3889112062,1.5461950319,0.000e+00
0.10,0.050,0.898281,canon,2,0.2188831501,1.5028565868,0.000e+00
0.10,0.050,0.898281,canon,3,0.3617367892,1.5470179138,0.000e+00
0.10,0.050,0.898281,canon,4,0.4773440226,1.5267201610,0.000e+00
0.10,0.050,0.898281,canon,5,0.5927807640,1.5760930732,0.000e+00
0.10,0.050,0.898281,canon,6,0.4482470529,1.5549724385,0.000e+00
0.10,0.050,0.898281,canon,7,0.3066183022,1.5171198726,0.000e+00
0.10,0.050,0.898281,canon,8,0.3862411726,1.5237029275,0.000e+00
0.10,0.050,0.898281,canon,9,0.4790296870,1.5390633891,0.000e+00
0.10,0.150,0.810340,canon,0,0.4062693740,1.5151998149,0.000e+00
0.10,0.150,0.810340,canon,1,0.3596138115,1.5330289220,0.000e+00
0.10,0.150,0.810340,canon,2,0.2072114137,1.4850274797,0.000e+00
0.10,0.150,0.810340,canon,3,0.3437837861,1.5300116885,0.000e+00
