flip_B1_FULL,flip_B2_FIXE_INIT,flip_B5a_PAR_NOEUD_PAR_COPIE,flip_B5b_PAR_NOEUD_COMMUN,frac_B5a,frac_B5b,retard_B1_moins_B2,t_pulse
5102.583333333333,2611.4166666666665,5102.583333333333,2644.9166666666665,1.0,0.013447514551415001,2491.1666666666665,1500
6838.583333333333,4239.583333333333,6838.583333333333,4244.166666666667,1.0,0.0017634987815828933,2599.0,3000
7863.666666666667,5724.75,7863.666666666667,5498.5,1.0,-0.1057778470409475,2138.916666666667,4500
,,,,1.0,-0.030188944569316537,,GLOBAL
