m,label,H_cont,H_std,synchrony,lz_complexity,u_mean
3,V4 static D=0.15,3.6232640485444563,0.06488926763147351,0.0013984647173050037,0.7970098192402318,0.0
3,D(u) alpha=-0.5,4.271386748038401,0.08850878970872408,0.009017111100777221,0.8691391813516205,0.9986851734293986
3,D(u) alpha=-4.0,5.116973258564441,0.025117254751623127,0.005351635099626902,0.9419264837971135,0.9998429802897212
3,D(u) alpha=-4.0 K=3,5.115812890904052,0.024682971353953188,0.008752180036633478,0.9413958867534807,0.9997895215280831
5,V4 static D=0.15,3.2017999681619567,0.06700961531162818,-0.002234782531151346,0.7938050130966919,0.0
5,D(u) alpha=-0.5,3.6739322642531813,0.09063436433038746,-0.0008406016827057567,0.8093727303568666,0.9994457848384859
5,D(u) alpha=-4.0,5.1003616350858225,0.044362612658872834,0.015128587069949595,0.8618169421494933,0.9999157123332687
5,D(u) alpha=-4.0 K=3,5.072102186499908,0.05841685688410897,0.04702525079094063,0.8475438816757818,0.9999180999291803
7,V4 static D=0.15,2.8846261952099304,0.06603274271857472,-0.002918771430869622,0.767720862431723,0.0
7,D(u) alpha=-0.5,4.043560194675918,0.07086581586660926,-0.004607885803876103,0.5453476414453826,0.9999573742753188
7,D(u) alpha=-4.0,4.356513442191328,0.08416500174726824,-0.005567737154039455,0.560384761661925,0.9999870153988614
7,D(u) alpha=-4.0 K=3,4.082394464211589,0.32123884808535624,-0.002928787543680717,0.5465467907639917,1.0
10,V4 static D=0.15,2.5171159007670187,0.06494023234663514,-0.003334953001928644,0.7050042918743729,0.0
10,D(u) alpha=-0.5,3.2695976580159303,0.14374549153451519,-0.007471900227515534,0.5031227287131159,0.9999899486428012
10,D(u) alpha=-4.0,3.3592530499180913,0.12430104232529697,-0.006741425477615672,0.5098825350489928,0.9999934667307875
10,D(u) alpha=-4.0 K=3,3.3898091633304435,0.20966521914818073,-0.007444144878614716,0.5089805200748178,1.0
