i_stim,u_frozen,u_filter,label,group,seed,r_global,r_intra,r_inter,n_min,desequilibre,r_equilibre
1.00,0.550,-0.145800,LE CREUX,canon,9,0.11250623,0.57588233,-0.37983087,40,0.4000,0.09319889
1.00,0.550,-0.145800,LE CREUX,repli,3051,0.13809182,0.58275133,-0.38474958,35,0.3500,0.09411450
1.00,0.550,-0.145800,LE CREUX,repli,3052,0.14613840,0.60646631,-0.37106401,37,0.3700,0.11276413
1.00,0.550,-0.145800,LE CREUX,repli,3053,0.16864834,0.63476122,-0.36665317,36,0.3600,0.12899638
1.00,0.550,-0.145800,LE CREUX,repli,3054,0.17400396,0.59325757,-0.31896457,35,0.3500,0.13253932
1.00,0.550,-0.145800,LE CREUX,repli,3055,0.16930483,0.68146128,-0.44829559,34,0.3400,0.11087700
1.00,0.550,-0.145800,LE CREUX,repli,3056,0.16580882,0.60535882,-0.43072332,30,0.3000,0.08208501
1.00,0.550,-0.145800,LE CREUX,repli,3057,0.12517906,0.59247531,-0.42427917,35,0.3500,0.07896294
1.00,0.550,-0.145800,LE CREUX,repli,3058,0.16833545,0.61966161,-0.44417864,30,0.3000,0.08236856
1.00,0.550,-0.145800,LE CREUX,repli,3059,0.16441697,0.58523127,-0.44801814,28,0.2800,0.06338813
1.00,0.550,-0.145800,LE CREUX,repli,3060,0.11950375,0.59785188,-0.38099195,41,0.4100,0.10348631
1.00,0.650,-0.429200,LA BANDE,canon,0,0.29566613,0.73649319,-0.34589467,28,0.2800,0.18983265
1.00,0.650,-0.429200,LA BANDE,canon,1,0.30144338,0.78057752,-0.42272741,27,0.2700,0.17284776
1.00,0.650,-0.429200,LA BANDE,canon,2,0.34242044,0.69212610,-0.31664022,22,0.2200,0.18264816
1.00,0.650,-0.429200,LA BANDE,canon,3,0.32345857,0.68185676,-0.38750491,21,0.2100,0.14177510
1.00,0.650,-0.429200,LA BANDE,canon,4,0.25767294,0.62838556,-0.32537092,26,0.2600,0.14669037
1.00,0.650,-0.429200,LA BANDE,canon,5,0.34132187,0.67181916,-0.31429393,21,0.2100,0.17378225
1.00,0.650,-0.429200,LA BANDE,canon,6,0.26513367,0.77791038,-0.43077758,30,0.3000,0.16746192
1.00,0.650,-0.429200,LA BANDE,canon,7,0.31096797,0.60903346,-0.28031205,21,0.2100,0.15986906
1.00,0.650,-0.429200,LA BANDE,canon,8,0.34136962,0.63659262,-0.31295504,19,0.1900,0.15702309
1.00,0.650,-0.429200,LA BANDE,canon,9,0.32441495,0.74952062,-0.29426562,28,0.2800,0.22235585
1.00,0.650,-0.429200,LA BANDE,repli,3051,0.26952093,0.63959956,-0.31252582,26,0.2600,0.15872815
1.00,0.650,-0.429200,LA BANDE,repli,3052,0.28120522,0.69910507,-0.40415053,25,0.2500,0.14190527
1.00,0.650,-0.429200,LA BANDE,repli,3053,0.37121064,0.66180756,-0.40847128,16,0.1600,0.12126269
1.00,0.650,-0.429200,LA BANDE,repli,3054,0.33382060,0.62747341,-0.31702392,19,0.1900,0.15045455
1.00,0.650,-0.429200,LA BANDE,repli,3055,0.33173212,0.71047318,-0.31736030,24,0.2400,0.19136536
1.00,0.650,-0.429200,LA BANDE,repli,3056,0.30711421,0.64948344,-0.30744920,23,0.2300,0.16618413
1.00,0.650,-0.429200,LA BANDE,repli,3057,0.34886461,0.68674750,-0.40001031,19,0.1900,0.13787992
1.00,0.650,-0.429200,LA BANDE,repli,3058,0.28752721,0.78023245,-0.38114419,30,0.3000,0.19367859
1.00,0.650,-0.429200,LA BANDE,repli,3059,0.30212723,0.69398990,-0.31418069,26,0.2600,0.18481283
1.00,0.650,-0.429200,LA BANDE,repli,3060,0.36481377,0.78133944,-0.38286275,23,0.2300,0.19335854
1.00,0.800,-0.726359,LA BANDE,canon,0,0.28531565,0.72845030,-0.41163105,26,0.2600,0.15265164
1.00,0.800,-0.726359,LA BANDE,canon,1,0.27248685,0.68203429,-0.34650950,27,0.2700,0.16256773
1.00,0.800,-0.726359,LA BANDE,canon,2,0.28889753,0.64323571,-0.31837284,24,0.2400,0.15757483
1.00,0.800,-0.726359,LA BANDE,canon,3,0.33351229,0.66019252,-0.43538144,18,0.1800,0.10687234
1.00,0.800,-0.726359,LA BANDE,canon,4,0.20285665,0.52677571,-0.23674778,30,0.3000,0.14115779
1.00,0.800,-0.726359,LA BANDE,canon,5,0.33089488,0.70711847,-0.28611182,25,0.2500,0.20548701
1.00,0.800,-0.726359,LA BANDE,canon,6,0.28977013,0.80539360,-0.43420630,29,0.2900,0.17933304
1.00,0.800,-0.726359,LA BANDE,canon,7,0.30082268,0.64925602,-0.32462598,23,0.2300,0.15739642
1.00,0.800,-0.726359,LA BANDE,canon,8,0.25955548,0.61608880,-0.27931452,27,0.2700,0.16386490
1.00,0.800,-0.726359,LA BANDE,canon,9,0.29674541,0.73327124,-0.29568251,30,0.3000,0.21359763
1.00,0.800,-0.726359,LA BANDE,repli,3051,0.31892646,0.65067301,-0.41634806,19,0.1900,0.11177348
1.00,0.800,-0.726359,LA BANDE,repli,3052,0.28667310,0.64902224,-0.36375486,23,0.2300,0.13751865
1.00,0.800,-0.726359,LA BANDE,repli,3053,0.30857387,0.56988090,-0.30645365,18,0.1800,0.12728769
1.00,0.800,-0.726359,LA BANDE,repli,3054,0.28539759,0.57560070,-0.23552600,23,0.2300,0.16594075
1.00,0.800,-0.726359,LA BANDE,repli,3055,0.31118874,0.65980223,-0.26053739,25,0.2500,0.19498424
1.00,0.800,-0.726359,LA BANDE,repli,3056,0.28202434,0.61132064,-0.23588137,26,0.2600,0.18344084
1.00,0.800,-0.726359,LA BANDE,repli,3057,0.31253342,0.65403982,-0.30048118,23,0.2300,0.17195851
1.00,0.800,-0.726359,LA BANDE,repli,3058,0.21953688,0.64439457,-0.30677936,33,0.3300,0.16400370
1.00,0.800,-0.726359,LA BANDE,repli,3059,0.26614925,0.64731651,-0.33333731,26,0.2600,0.15203680
1.00,0.800,-0.726359,LA BANDE,repli,3060,0.29608055,0.68334106,-0.33902668,25,0.2500,0.16699372
1.00,0.950,-0.878281,apres la bande,canon,0,0.05706564,0.25359125,-0.15174283,40,0.4000,0.04887707
1.00,0.950,-0.878281,apres la bande,canon,1,0.06521984,0.19954611,-0.10118434,33,0.3300,0.04766204
1.00,0.950,-0.878281,apres la bande,canon,2,0.06879566,0.21851906,-0.09605260,38,0.3800,0.05964449
1.00,0.950,-0.878281,apres la bande,canon,3,0.09282296,0.31188125,-0.21475231,29,0.2900,0.04590470
1.00,0.950,-0.878281,apres la bande,canon,4,0.02382870,0.16835972,-0.11965500,46,0.4600,0.02289774
1.00,0.950,-0.878281,apres la bande,canon,5,0.05316863,0.29679070,-0.20567981,40,0.4000,0.04301771
1.00,0.950,-0.878281,apres la bande,canon,6,0.05858562,0.22391981,-0.11708195,40,0.4000,0.05169670
1.00,0.950,-0.878281,apres la bande,canon,7,0.02221682,0.15762634,-0.13700096,35,0.3500,0.00882467
1.00,0.950,-0.878281,apres la bande,canon,8,0.04009717,0.15418243,-0.09404704,35,0.3500,0.02881401
1.00,0.950,-0.878281,apres la bande,canon,9,-0.00398567,0.14945100,-0.15545125,47,0.4700,-0.00454004
1.00,0.950,-0.878281,apres la bande,repli,3051,0.06201878,0.27527711,-0.15541596,43,0.4300,0.05775536
1.00,0.950,-0.878281,apres la bande,repli,3052,0.06289775,0.20550165,-0.10087391,36,0.3600,0.05076652
1.00,0.950,-0.878281,apres la bande,repli,3053,0.02655033,0.17123981,-0.12981648,39,0.3900,0.01919118
1.00,0.950,-0.878281,apres la bande,repli,3054,0.02977077,0.14558942,-0.12741168,30,0.3000,0.00771007
1.00,0.950,-0.878281,apres la bande,repli,3055,0.14475051,0.26425647,-0.15498839,17,0.1700,0.05251664
1.00,0.950,-0.878281,apres la bande,repli,3056,0.05467052,0.20591490,-0.17392258,27,0.2700,0.01407779
1.00,0.950,-0.878281,apres la bande,repli,3057,0.01091441,0.13859629,-0.11676748,45,0.4500,0.00962469
1.00,0.950,-0.878281,apres la bande,repli,3058,0.01055744,0.11113224,-0.08800585,50,0.5000,0.01055744
1.00,0.950,-0.878281,apres la bande,repli,3059,0.05684498,0.23834408,-0.12333891,46,0.4600,0.05567590
1.00,0.950,-0.878281,apres la bande,repli,3060,0.05001754,0.21398839,-0.11067389,50,0.5000,0.05001754
0.75,0.550,-0.145800,le creux (I=0.75),canon,0,0.01698621,0.62381490,-0.58544517,46,0.4600,0.01307749
0.75,0.550,-0.145800,le creux (I=0.75),canon,1,0.04403328,0.65522620,-0.59545794,41,0.4100,0.02356754
0.75,0.550,-0.145800,le creux (I=0.75),canon,2,0.04778823,0.62184883,-0.57260261,39,0.3900,0.01859052
0.75,0.550,-0.145800,le creux (I=0.75),canon,3,0.02982999,0.58160901,-0.55643523,40,0.4000,0.00683919
0.75,0.550,-0.145800,le creux (I=0.75),canon,4,-0.00341896,0.60645720,-0.60303278,48,0.4800,-0.00439633
0.75,0.550,-0.145800,le creux (I=0.75),canon,5,0.00041664,0.57572508,-0.56338564,50,0.5000,0.00041664
0.75,0.550,-0.145800,le creux (I=0.75),canon,6,0.00993191,0.54169608,-0.51500109,47,0.4700,0.00801064
0.75,0.550,-0.145800,le creux (I=0.75),canon,7,0.02156673,0.60225271,-0.57049133,43,0.4300,0.00995774
0.75,0.550,-0.145800,le creux (I=0.75),canon,8,0.04126406,0.56863898,-0.53938559,38,0.3800,0.00903061
0.75,0.550,-0.145800,le creux (I=0.75),canon,9,0.01085258,0.57591974,-0.55011989,46,0.4600,0.00721285
0.75,0.550,-0.145800,le creux (I=0.75),repli,3051,0.01332689,0.58295587,-0.54671699,48,0.4800,0.01241402
0.75,0.550,-0.145800,le creux (I=0.75),repli,3052,0.01916885,0.62308422,-0.57314670,49,0.4900,0.01892719
0.75,0.550,-0.145800,le creux (I=0.75),repli,3053,0.00706417,0.60583291,-0.58736566,46,0.4600,0.00320737
0.75,0.550,-0.145800,le creux (I=0.75),repli,3054,0.02219750,0.57137137,-0.52697637,45,0.4500,0.01665029
0.75,0.550,-0.145800,le creux (I=0.75),repli,3055,0.02424655,0.60440497,-0.58277328,41,0.4100,0.00482000
0.75,0.550,-0.145800,le creux (I=0.75),repli,3056,0.01445029,0.62779042,-0.60436608,44,0.4400,0.00548916
0.75,0.550,-0.145800,le creux (I=0.75),repli,3057,0.01154547,0.55803467,-0.52792340,47,0.4700,0.00957100
0.75,0.550,-0.145800,le creux (I=0.75),repli,3058,0.07520986,0.60772068,-0.55092924,35,0.3500,0.02254395
0.75,0.550,-0.145800,le creux (I=0.75),repli,3059,0.02672466,0.55201304,-0.55162766,38,0.3800,-0.00538126
0.75,0.550,-0.145800,le creux (I=0.75),repli,3060,0.00515321,0.58406544,-0.57375902,45,0.4500,-0.00069439
0.75,0.650,-0.429200,la bande (I=0.75),canon,0,0.30739139,0.67452556,-0.19086214,30,0.3000,0.23746107
0.75,0.650,-0.429200,la bande (I=0.75),canon,1,0.32419570,0.59488106,-0.18594210,22,0.2200,0.20052593
0.75,0.650,-0.429200,la bande (I=0.75),canon,2,0.36191836,0.51982961,-0.12939026,14,0.1400,0.19194079
0.75,0.650,-0.429200,la bande (I=0.75),canon,3,0.36564746,0.57910460,-0.16973511,17,0.1700,0.20090273
0.75,0.650,-0.429200,la bande (I=0.75),canon,4,0.28158923,0.48221879,-0.16308095,19,0.1900,0.15630983
0.75,0.650,-0.429200,la bande (I=0.75),canon,5,0.37126641,0.59347330,-0.22492260,16,0.1600,0.18014204
0.75,0.650,-0.429200,la bande (I=0.75),canon,6,0.33993360,0.61735249,-0.27493049,19,0.1900,0.16670452
0.75,0.650,-0.429200,la bande (I=0.75),canon,7,0.01764813,0.13440049,-0.10640126,40,0.4000,0.01278345
0.75,0.650,-0.429200,la bande (I=0.75),canon,8,0.30963315,0.44199029,-0.10216904,14,0.1400,0.16716235
0.75,0.650,-0.429200,la bande (I=0.75),canon,9,0.33875286,0.58919190,-0.13322840,22,0.2200,0.22433316
0.75,0.650,-0.429200,la bande (I=0.75),repli,3051,0.29314311,0.54062043,-0.17325644,22,0.2200,0.18007655
0.75,0.650,-0.429200,la bande (I=0.75),repli,3052,0.09157252,0.20246022,-0.08282779,26,0.2600,0.05837536
0.75,0.650,-0.429200,la bande (I=0.75),repli,3053,0.11116788,0.30588339,-0.12363611,34,0.3400,0.08895435
0.75,0.650,-0.429200,la bande (I=0.75),repli,3054,0.06646520,0.15932182,-0.07957646,26,0.2600,0.03866612
0.75,0.650,-0.429200,la bande (I=0.75),repli,3055,0.28993945,0.67629315,-0.21779325,31,0.3100,0.22473436
0.75,0.650,-0.429200,la bande (I=0.75),repli,3056,0.39560402,0.59679429,-0.18429734,15,0.1500,0.20230357
0.75,0.650,-0.429200,la bande (I=0.75),repli,3057,0.03533069,0.14456909,-0.10392819,32,0.3200,0.01906541
0.75,0.650,-0.429200,la bande (I=0.75),repli,3058,0.34562664,0.59899844,-0.21594008,19,0.1900,0.18741333
0.75,0.650,-0.429200,la bande (I=0.75),repli,3059,0.26778807,0.52973744,-0.16180890,25,0.2500,0.18047161
0.75,0.650,-0.429200,la bande (I=0.75),repli,3060,0.32819136,0.55747576,-0.12664588,21,0.2100,0.21195978
