condition,t_pulse,seed,dstar,flip_time,acc_final,rule,param,stop,acc
STNO_FULL,500,7,-1,1342,1,CONV,0.0002,777,0
STNO_FULL,500,7,-1,1342,1,CONV,0.0005,773,0
STNO_FULL,500,7,-1,1342,1,CONV,0.001,766,0
STNO_FULL,500,7,-1,1342,1,FIXED,600,600,0
STNO_FULL,500,7,-1,1342,1,FIXED,1200,1200,0
STNO_FULL,500,7,-1,1342,1,FIXED,1800,1800,1
STNO_FULL,500,7,-1,1342,1,FIXED,2400,2400,1
STNO_FULL,500,7,-1,1342,1,FIXED,3000,3000,1
STNO_FULL,500,7,-1,1342,1,FIXED,3600,3600,1
STNO_FULL,500,7,-1,1342,1,FIXED,4200,4200,1
STNO_FULL,500,7,-1,1342,1,FIXED,4800,4800,1
STNO_FULL,500,7,-1,1342,1,FIXED,5400,5400,1
STNO_FULL,500,7,-1,1342,1,FIXED,6000,6000,1
STNO_FULL,500,7,-1,1342,1,FIXED,6600,6600,1
STNO_FULL,500,7,-1,1342,1,FIXED,7200,7200,1
STNO_FULL,500,7,-1,1342,1,FIXED,7800,7800,1
STNO_FULL,500,7,-1,1342,1,FIXED,8400,8400,1
STNO_FULL,500,7,-1,1342,1,FIXED,9000,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,8,-1,1218,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,8,-1,1218,1,CONV,0.0002,763,0
STNO_FULL,500,8,-1,1218,1,CONV,0.0005,758,0
STNO_FULL,500,8,-1,1218,1,CONV,0.001,750,0
STNO_FULL,500,8,-1,1218,1,FIXED,600,600,0
STNO_FULL,500,8,-1,1218,1,FIXED,1200,1200,0
STNO_FULL,500,8,-1,1218,1,FIXED,1800,1800,1
STNO_FULL,500,8,-1,1218,1,FIXED,2400,2400,1
STNO_FULL,500,8,-1,1218,1,FIXED,3000,3000,1
STNO_FULL,500,8,-1,1218,1,FIXED,3600,3600,1
STNO_FULL,500,8,-1,1218,1,FIXED,4200,4200,1
STNO_FULL,500,8,-1,1218,1,FIXED,4800,4800,1
STNO_FULL,500,8,-1,1218,1,FIXED,5400,5400,1
STNO_FULL,500,8,-1,1218,1,FIXED,6000,6000,1
STNO_FULL,500,8,-1,1218,1,FIXED,6600,6600,1
STNO_FULL,500,8,-1,1218,1,FIXED,7200,7200,1
STNO_FULL,500,8,-1,1218,1,FIXED,7800,7800,1
STNO_FULL,500,8,-1,1218,1,FIXED,8400,8400,1
STNO_FULL,500,8,-1,1218,1,FIXED,9000,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_P,0.5,8250,1
STNO_FULL,500,9,-1,1359,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,9,-1,1359,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,9,-1,1359,1,CONV,0.0002,787,0
STNO_FULL,500,9,-1,1359,1,CONV,0.0005,780,0
STNO_FULL,500,9,-1,1359,1,CONV,0.001,769,0
STNO_FULL,500,9,-1,1359,1,FIXED,600,600,0
STNO_FULL,500,9,-1,1359,1,FIXED,1200,1200,0
STNO_FULL,500,9,-1,1359,1,FIXED,1800,1800,1
STNO_FULL,500,9,-1,1359,1,FIXED,2400,2400,1
STNO_FULL,500,9,-1,1359,1,FIXED,3000,3000,1
STNO_FULL,500,9,-1,1359,1,FIXED,3600,3600,1
STNO_FULL,500,9,-1,1359,1,FIXED,4200,4200,1
STNO_FULL,500,9,-1,1359,1,FIXED,4800,4800,1
STNO_FULL,500,9,-1,1359,1,FIXED,5400,5400,1
STNO_FULL,500,9,-1,1359,1,FIXED,6000,6000,1
STNO_FULL,500,9,-1,1359,1,FIXED,6600,6600,1
STNO_FULL,500,9,-1,1359,1,FIXED,7200,7200,1
STNO_FULL,500,9,-1,1359,1,FIXED,7800,7800,1
STNO_FULL,500,9,-1,1359,1,FIXED,8400,8400,1
STNO_FULL,500,9,-1,1359,1,FIXED,9000,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_P,0.5,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_S,0.5,9000,1
STNO_FULL,500,10,1,1303,1,DOUBT_U,0.5,9000,1
STNO_FULL,500,10,1,1303,1,CONV,0.0002,784,0
STNO_FULL,500,10,1,1303,1,CONV,0.0005,778,0
STNO_FULL,500,10,1,1303,1,CONV,0.001,768,0
STNO_FULL,500,10,1,1303,1,FIXED,600,600,0
STNO_FULL,500,10,1,1303,1,FIXED,1200,1200,0
STNO_FULL,500,10,1,1303,1,FIXED,1800,1800,1
STNO_FULL,500,10,1,1303,1,FIXED,2400,2400,1
STNO_FULL,500,10,1,1303,1,FIXED,3000,3000,1
STNO_FULL,500,10,1,1303,1,FIXED,3600,3600,1
STNO_FULL,500,10,1,1303,1,FIXED,4200,4200,1
STNO_FULL,500,10,1,1303,1,FIXED,4800,4800,1
STNO_FULL,500,10,1,1303,1,FIXED,5400,5400,1
STNO_FULL,500,10,1,1303,1,FIXED,6000,6000,1
STNO_FULL,500,10,1,1303,1,FIXED,6600,6600,1
STNO_FULL,500,10,1,1303,1,FIXED,7200,7200,1
STNO_FULL,500,10,1,1303,1,FIXED,7800,7800,1
STNO_FULL,500,10,1,1303,1,FIXED,8400,8400,1
STNO_FULL,500,10,1,1303,1,FIXED,9000,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIR,0.2,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIRL,0.2,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_P,0.2,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_S,0.2,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_U,0.2,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIR,0.3,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIRL,0.3,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_P,0.3,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_S,0.3,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_U,0.3,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIR,0.5,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_PAIRL,0.5,9000,1
STNO_FULL,500,11,-1,1324,1,DOUBT_P,0.5,9000,1
