m,condition,seed,h_cont,h_cog,sync
3,DETERMINISTIC,42,3.7062842209776687,0.19345230028391985,-0.0048370328246562936
3,DETERMINISTIC,123,3.7229370343347545,0.25022470439147365,0.0019860622428068413
3,DETERMINISTIC,777,3.6675108964264456,0.18377197419407026,0.017214348460221494
3,DETERMINISTIC,17,3.644525829119171,0.18705518075809593,0.008950709987008712
3,DETERMINISTIC,256,3.6369674199940074,0.14664698698577985,0.015047781123047799
3,DETERMINISTIC,1337,3.5964132327806966,0.09085140781408846,0.0022511723212806523
3,DETERMINISTIC,99,3.6447416800945183,0.1567382820742738,0.0036335910508306177
3,DETERMINISTIC,314,3.698135033126235,0.2056805863758273,0.009860780967519573
3,DETERMINISTIC,2024,3.6788371792327865,0.1779986402399375,0.012399447850777361
3,DETERMINISTIC,888,3.6957331831027918,0.210947373628636,0.007187598343647311
3,COUPLING_3,42,3.7206104746923803,0.19146715219246,-0.003613967533058386
3,COUPLING_3,123,3.75354769147053,0.25905390235017395,0.007937496435069384
3,COUPLING_3,777,3.727053882013719,0.1972600210934369,0.01650727067417884
3,COUPLING_3,17,3.69521667642717,0.18417549884809012,0.0023101194308093958
3,COUPLING_3,256,3.6763820529486497,0.1464614318997487,0.001604528256089997
3,COUPLING_3,1337,3.594903126262378,0.09488498989059413,0.00970701178511103
3,COUPLING_3,99,3.6160338552612976,0.14606038656364567,0.005213948049773386
3,COUPLING_3,314,3.690494872978232,0.1538758288008466,0.006051359228310862
3,COUPLING_3,2024,3.6583046764420444,0.1343307402497954,0.00625758063384558
3,COUPLING_3,888,3.7155399829149154,0.20887030516141977,0.0007290737174126877
3,COUPLING_10,42,3.678451030783946,0.16827785588689986,-0.004803832205797557
3,COUPLING_10,123,3.7577735388202687,0.27914770845971787,0.007928545608279504
3,COUPLING_10,777,3.65242996898469,0.18133259670242963,0.014819469610478258
3,COUPLING_10,17,3.702332446246888,0.17770925969201395,0.001516160086867551
3,COUPLING_10,256,3.6175016317133957,0.1344382797579318,0.01833282345372384
3,COUPLING_10,1337,3.6079736300285776,0.09758086355900036,0.007532563013668697
3,COUPLING_10,99,3.6765288174051873,0.16069219058825548,0.012819451318207529
3,COUPLING_10,314,3.7131670021378658,0.15595413710974237,0.01155856339788125
3,COUPLING_10,2024,3.662459578418485,0.16431825472324768,-0.00628531317369095
3,COUPLING_10,888,3.6991101369410906,0.20648538991184523,0.0028800135504358166
3,COUPLING_30,42,3.7522129790036174,0.21120921725594707,0.010870713348138862
3,COUPLING_30,123,3.710045174783368,0.2622989481248447,0.003659980696730471
3,COUPLING_30,777,3.6836736329855913,0.19940199196519656,0.00992016014818935
3,COUPLING_30,17,3.6520511692384487,0.18627499811895928,0.011109668567684212
3,COUPLING_30,256,3.602428684895148,0.13812610411752696,0.023300541401165966
3,COUPLING_30,1337,3.57877089852593,0.09955335873405334,0.010702753295407864
3,COUPLING_30,99,3.6588439416946077,0.1349979209914932,0.0034613066958941144
3,COUPLING_30,314,3.660880129905078,0.17433553432902696,0.010192547426144219
3,COUPLING_30,2024,3.64663522934348,0.14842261189777753,0.012851975303685205
3,COUPLING_30,888,3.7088563895741298,0.19069941921659533,0.004249096348324755
3,COUPLING_100,42,3.7140055879864757,0.18688638717144684,-0.003188042279210913
3,COUPLING_100,123,3.737882498783742,0.2433667378622512,0.007468361206224458
3,COUPLING_100,777,3.682523817248116,0.18161140148821472,0.006028729692397771
3,COUPLING_100,17,3.7008867845718942,0.18817354554316165,0.0029348766294761833
3,COUPLING_100,256,3.6280911892958283,0.15463953649507098,0.017800630889724885
3,COUPLING_100,1337,3.5684589612211655,0.10055792572070808,0.017668168248140423
3,COUPLING_100,99,3.6528641734731893,0.15039631986573562,0.005655673871751633
3,COUPLING_100,314,3.674061711642189,0.1685183465590571,0.02177146013869936
3,COUPLING_100,2024,3.641256236175976,0.1576580272934968,0.017980861131879054
3,COUPLING_100,888,3.735462821678557,0.23534827982025916,-0.00021534237562741287
3,COUPLING_300,42,3.707631329240398,0.20011763207896918,0.006722300649230102
3,COUPLING_300,123,3.733759280160883,0.2692655991176452,0.007102615434944676
3,COUPLING_300,777,3.694576464251863,0.180263237133853,0.0014794101695962834
3,COUPLING_300,17,3.6886247400567185,0.19333727162800915,0.003646861232304656
3,COUPLING_300,256,3.617250821120985,0.14756828072735678,0.02471120631034094
3,COUPLING_300,1337,3.611976968040417,0.10538405041671416,0.007440541769941447
3,COUPLING_300,99,3.628871308723886,0.14210647477486968,0.004955010235680797
3,COUPLING_300,314,3.6765691208595976,0.1768473074168372,0.018090795952508263
3,COUPLING_300,2024,3.660835359169717,0.15905165850787392,0.00815113400040142
3,COUPLING_300,888,3.7687966350161872,0.23074446514521862,0.005588759571926167
3,COUPLING_1000,42,3.7016955618567873,0.1809449085290102,-0.0060393445528281915
3,COUPLING_1000,123,3.7397400738885933,0.24968380731670925,0.004379547252569632
3,COUPLING_1000,777,3.682548389777642,0.1893377831783404,0.01277761029897506
3,COUPLING_1000,17,3.6781297923105543,0.1875138831677859,0.012180607181979374
3,COUPLING_1000,256,3.5794394470987267,0.11641127661091907,0.014636512061329631
3,COUPLING_1000,1337,3.562775239884824,0.08906211911301946,0.018043370823939094
3,COUPLING_1000,99,3.6060680997428047,0.14099872353544668,0.01151880338018616
3,COUPLING_1000,314,3.6679792662418245,0.16694354095530828,0.018644772201321994
3,COUPLING_1000,2024,3.6337580718301523,0.14377044633517927,0.0049324258331022225
3,COUPLING_1000,888,3.7048655606627183,0.20409035792307537,0.0036422064373668856
3,FULLOPT_3,42,3.864460978546985,0.2292208800284185,-0.006108366391317491
3,FULLOPT_3,123,3.89848543870408,0.29098436882840795,0.004945509551384628
3,FULLOPT_3,777,3.8691409833408157,0.2305108264319034,0.01016472497002486
3,FULLOPT_3,17,3.8940927803434033,0.22761882050612495,0.004996554282928204
3,FULLOPT_3,256,3.7632279550520944,0.1871477073891296,0.01195388349624638
3,FULLOPT_3,1337,3.7492786972112904,0.12861796413832774,0.0046673449479435825
3,FULLOPT_3,99,3.793407190451602,0.204967732075693,0.0001804907884809408
3,FULLOPT_3,314,3.852471040330051,0.21671561121740449,0.00971393141026364
3,FULLOPT_3,2024,3.8253468427332944,0.2093344214690042,0.0037265935551568435
3,FULLOPT_3,888,3.8975426934978272,0.23655541523484241,0.005816475081409642
3,FULLOPT_10,42,3.772016251598376,0.20952261666435784,-0.0028069048480907446
3,FULLOPT_10,123,3.7888999579372284,0.25870134302761155,0.0053374029629614005
3,FULLOPT_10,777,3.717126518894241,0.20493231454956345,0.018464336589959485
