tau_u,group,seed,bloc,step,u,u_filter,synchrony,r_intra,r_inter,n_min,t_cross_u05
2.0,repli,3080,18,5400,0.997362,-0.905826,0.00554674,0.33186775,-0.31528330,48,30
2.0,repli,3080,19,5700,0.996468,-0.905372,0.02573107,0.32025062,-0.27455630,43,30
2.0,repli,3080,20,6000,0.996782,-0.905532,-0.00091125,0.30680597,-0.30345054,48,30
2.0,repli,3080,21,6300,0.996443,-0.905359,0.00235941,0.31108569,-0.30412971,46,30
2.0,repli,3080,22,6600,0.996322,-0.905297,0.06618632,0.34155336,-0.28485604,32,30
2.0,repli,3080,23,6900,0.997224,-0.905756,0.00856029,0.29211147,-0.27499089,45,30
2.0,repli,3080,24,7200,0.995933,-0.905099,0.05347652,0.42743204,-0.32780250,43,30
2.0,repli,3080,25,7500,0.996914,-0.905599,0.00169723,0.28616475,-0.29594117,41,30
2.0,repli,3080,26,7800,0.996778,-0.905530,0.16389261,0.36216665,-0.20977772,22,30
2.0,repli,3080,27,8100,0.997260,-0.905774,0.04727501,0.33880509,-0.32437227,32,30
2.0,repli,3080,28,8400,0.996679,-0.905480,0.15593860,0.44720147,-0.28428063,27,30
2.0,repli,3080,29,8700,0.995852,-0.905058,-0.00556161,0.34498340,-0.35610662,45,30
10.0,canon,0,0,0,0.474534,0.089833,0.20885878,0.51368912,-0.33832115,23,141
10.0,canon,0,1,300,0.892745,-0.833691,0.18156451,0.68568488,-0.39738623,36,141
10.0,canon,0,2,600,0.975314,-0.893920,0.10331196,0.60569669,-0.57849589,30,141
10.0,canon,0,3,900,0.999349,-0.906827,0.20511947,0.70648661,-0.65413144,24,141
10.0,canon,0,4,1200,0.998900,-0.906602,0.12696577,0.53921713,-0.35776935,35,141
10.0,canon,0,5,1500,0.999686,-0.906996,0.11253060,0.40803504,-0.31753389,28,141
10.0,canon,0,6,1800,0.999199,-0.906752,0.40895329,0.63715149,-0.30103881,14,141
10.0,canon,0,7,2100,0.999217,-0.906761,0.00246368,0.34772933,-0.33836661,47,141
10.0,canon,0,8,2400,0.999327,-0.906816,0.03729615,0.41599928,-0.34140697,45,141
10.0,canon,0,9,2700,0.999303,-0.906804,0.00893427,0.41212113,-0.39785247,44,141
10.0,canon,0,10,3000,0.999344,-0.906824,0.07481980,0.43582787,-0.31532384,39,141
10.0,canon,0,11,3300,0.999149,-0.906727,0.01071625,0.37406529,-0.36426713,42,141
10.0,canon,0,12,3600,0.999657,-0.906981,0.05648706,0.43089725,-0.32126608,44,141
10.0,canon,0,13,3900,0.999229,-0.906767,0.18259783,0.51045919,-0.29455754,28,141
10.0,canon,0,14,4200,0.999281,-0.906793,0.00807269,0.33666107,-0.31498656,48,141
10.0,canon,0,15,4500,0.999287,-0.906796,0.00164777,0.26151813,-0.25323108,49,141
10.0,canon,0,16,4800,0.999094,-0.906699,0.02180797,0.34244605,-0.29267139,49,141
10.0,canon,0,17,5100,0.999295,-0.906800,0.03409392,0.36909765,-0.33475144,38,141
10.0,canon,0,18,5400,0.999314,-0.906809,-0.00023414,0.26371474,-0.26418303,45,141
10.0,canon,0,19,5700,0.999058,-0.906681,0.04726211,0.35039169,-0.27481308,40,141
10.0,canon,0,20,6000,0.999312,-0.906809,0.00886671,0.29514503,-0.27533714,46,141
10.0,canon,0,21,6300,0.999201,-0.906753,0.01157900,0.41800320,-0.38703874,49,141
10.0,canon,0,22,6600,0.999390,-0.906847,0.02648100,0.36532343,-0.32804987,41,141
10.0,canon,0,23,6900,0.999125,-0.906715,0.08243977,0.49374465,-0.36205995,39,141
10.0,canon,0,24,7200,0.999624,-0.906965,0.07459595,0.39025403,-0.31644316,33,141
10.0,canon,0,25,7500,0.999058,-0.906681,0.26957234,0.54753350,-0.31240885,20,141
10.0,canon,0,26,7800,0.999335,-0.906820,0.03128516,0.29692784,-0.31781329,31,141
10.0,canon,0,27,8100,0.999385,-0.906845,0.15196552,0.39963221,-0.27248955,24,141
10.0,canon,0,28,8400,0.999207,-0.906756,0.01924307,0.42205992,-0.40222424,41,141
10.0,canon,0,29,8700,0.999519,-0.906912,0.11230365,0.56296810,-0.39404135,37,141
10.0,canon,1,0,0,0.504618,-0.004507,0.34702842,0.46396717,-0.08418322,12,126
10.0,canon,1,1,300,0.916585,-0.853957,0.21652627,0.71759748,-0.31586188,40,126
10.0,canon,1,2,600,0.975919,-0.894267,0.17188592,0.58446774,-0.53520332,24,126
10.0,canon,1,3,900,0.999252,-0.906778,0.24048401,0.75002089,-0.63276833,24,126
10.0,canon,1,4,1200,0.999107,-0.906706,0.07406622,0.56914821,-0.44393812,41,126
10.0,canon,1,5,1500,0.999638,-0.906971,0.09288790,0.42229175,-0.23651594,45,126
10.0,canon,1,6,1800,0.999024,-0.906664,0.30194052,0.60484451,-0.45778821,17,126
10.0,canon,1,7,2100,0.999508,-0.906906,0.05104953,0.41697704,-0.37921688,35,126
10.0,canon,1,8,2400,0.999360,-0.906833,0.08441289,0.40125688,-0.31950496,32,126
10.0,canon,1,9,2700,0.999165,-0.906735,0.00967653,0.40138669,-0.37700163,47,126
10.0,canon,1,10,3000,0.999551,-0.906928,-0.00340870,0.32760269,-0.32885017,48,126
10.0,canon,1,11,3300,0.999265,-0.906785,0.17405878,0.46611469,-0.23601098,29,126
10.0,canon,1,12,3600,0.999429,-0.906867,0.08756428,0.42023671,-0.39659291,28,126
10.0,canon,1,13,3900,0.999259,-0.906782,0.11387315,0.41487376,-0.29462768,30,126
10.0,canon,1,14,4200,0.999286,-0.906795,-0.00668770,0.33142337,-0.33910941,48,126
10.0,canon,1,15,4500,0.999309,-0.906807,0.02265094,0.29185215,-0.25182226,43,126
10.0,canon,1,16,4800,0.999286,-0.906795,0.00090558,0.39189571,-0.40818744,41,126
10.0,canon,1,17,5100,0.999650,-0.906977,0.03139267,0.43325243,-0.38333453,42,126
10.0,canon,1,18,5400,0.999168,-0.906736,0.14955220,0.50199762,-0.32876659,30,126
10.0,canon,1,19,5700,0.999484,-0.906895,0.06494369,0.40745626,-0.33779088,35,126
10.0,canon,1,20,6000,0.999307,-0.906806,0.20470834,0.51204912,-0.37451083,22,126
10.0,canon,1,21,6300,0.999199,-0.906752,-0.00347489,0.22894320,-0.23589298,45,126
10.0,canon,1,22,6600,0.999213,-0.906759,0.04142137,0.32821171,-0.26851473,39,126
10.0,canon,1,23,6900,0.999250,-0.906777,0.00500569,0.27281635,-0.25936462,47,126
10.0,canon,1,24,7200,0.999248,-0.906776,-0.00088629,0.28996457,-0.28684302,48,126
10.0,canon,1,25,7500,0.999271,-0.906788,0.03662335,0.34271288,-0.28859678,40,126
10.0,canon,1,26,7800,0.999161,-0.906733,0.00956565,0.32905408,-0.31277535,44,126
10.0,canon,1,27,8100,0.999404,-0.906854,0.00586285,0.34946849,-0.33196097,48,126
10.0,canon,1,28,8400,0.999135,-0.906720,0.04602386,0.33378826,-0.27081011,38,126
10.0,canon,1,29,8700,0.999258,-0.906781,0.02733070,0.29563323,-0.23902761,46,126
10.0,canon,2,0,0,0.484309,0.059254,0.24209428,0.48225566,-0.36026653,17,137
10.0,canon,2,1,300,0.904523,-0.844027,0.18182100,0.67469328,-0.34185580,40,137
10.0,canon,2,2,600,0.967579,-0.889375,0.05850657,0.42533805,-0.32530925,41,137
10.0,canon,2,3,900,0.993621,-0.903910,0.09853391,0.34890487,-0.27988064,27,137
10.0,canon,2,4,1200,0.998915,-0.906609,0.00209659,0.32595170,-0.32175852,45,137
10.0,canon,2,5,1500,0.999341,-0.906823,0.00177375,0.28067313,-0.29003870,41,137
10.0,canon,2,6,1800,0.999373,-0.906839,0.01414202,0.27044205,-0.24444641,44,137
10.0,canon,2,7,2100,0.999258,-0.906781,0.04283694,0.33832906,-0.27650321,39,137
10.0,canon,2,8,2400,0.999252,-0.906778,0.00858030,0.36916347,-0.35522235,44,137
10.0,canon,2,9,2700,0.999398,-0.906851,0.13608184,0.44587436,-0.31477692,28,137
10.0,canon,2,10,3000,0.999212,-0.906758,-0.00815226,0.29008044,-0.30638495,45,137
10.0,canon,2,11,3300,0.999198,-0.906751,0.00635622,0.34366118,-0.33094873,45,137
10.0,canon,2,12,3600,0.999194,-0.906749,0.00236038,0.32824729,-0.31700880,50,137
10.0,canon,2,13,3900,0.999249,-0.906777,-0.00572146,0.27195356,-0.27806299,49,137
10.0,canon,2,14,4200,0.999385,-0.906845,-0.00210064,0.30933405,-0.30829485,48,137
10.0,canon,2,15,4500,0.999210,-0.906757,0.00800423,0.28713421,-0.28404950,41,137
10.0,canon,2,16,4800,0.999561,-0.906933,0.06126481,0.50220343,-0.43415272,37,137
10.0,canon,2,17,5100,0.999294,-0.906799,0.25170282,0.52380422,-0.35137570,19,137
10.0,canon,2,18,5400,0.999164,-0.906734,0.00226542,0.37232346,-0.39765858,39,137
10.0,canon,2,19,5700,0.999428,-0.906867,0.02876843,0.43331842,-0.36897422,48,137
10.0,canon,2,20,6000,0.999098,-0.906701,0.01550354,0.36853908,-0.33075101,49,137
10.0,canon,2,21,6300,0.999472,-0.906888,0.06817241,0.38308581,-0.32194418,33,137
10.0,canon,2,22,6600,0.999267,-0.906786,0.16153989,0.42336749,-0.28718437,24,137
10.0,canon,2,23,6900,0.999349,-0.906827,0.04037019,0.30948341,-0.26199253,37,137
10.0,canon,2,24,7200,0.999107,-0.906706,0.04520849,0.37374702,-0.29384974,42,137
10.0,canon,2,25,7500,0.999399,-0.906852,-0.00296061,0.28985464,-0.29577586,45,137
10.0,canon,2,26,7800,0.999381,-0.906843,0.04054146,0.32317091,-0.25517378,41,137
10.0,canon,2,27,8100,0.999238,-0.906771,-0.00448090,0.29855101,-0.30531692,46,137
10.0,canon,2,28,8400,0.999252,-0.906778,0.00736171,0.30479848,-0.28791972,46,137
10.0,canon,2,29,8700,0.999203,-0.906754,0.03599336,0.27571711,-0.24587961,35,137
10.0,canon,3,0,0,0.457742,0.141984,0.19730550,0.49278083,-0.23271664,28,146
10.0,canon,3,1,300,0.885864,-0.827347,0.18359851,0.68799813,-0.40948676,35,146
10.0,canon,3,2,600,0.970419,-0.891067,0.13752310,0.46864260,-0.32739506,29,146
10.0,canon,3,3,900,0.997716,-0.906005,0.37559860,0.57313260,-0.29140610,13,146
10.0,canon,3,4,1200,0.999348,-0.906827,0.06086015,0.49607617,-0.43895826,36,146
10.0,canon,3,5,1500,0.999426,-0.906865,0.11112235,0.45311806,-0.30128423,34,146
10.0,canon,3,6,1800,0.999163,-0.906734,0.01436102,0.38066342,-0.35194138,45,146
10.0,canon,3,7,2100,0.999570,-0.906937,0.06319302,0.42868976,-0.37755305,34,146
10.0,canon,3,8,2400,0.999267,-0.906786,0.19646106,0.43317753,-0.20922736,24,146
10.0,canon,3,9,2700,0.999143,-0.906723,-0.00242162,0.28885363,-0.29629754,44,146
10.0,canon,3,10,3000,0.999230,-0.906767,0.01348810,0.32533558,-0.30446655,43,146
10.0,canon,3,11,3300,0.999272,-0.906788,-0.00570731,0.31477084,-0.32002982,49,146
10.0,canon,3,12,3600,0.999165,-0.906734,0.00535252,0.37097831,-0.36353779,44,146
10.0,canon,3,13,3900,0.999326,-0.906816,0.00861511,0.33472622,-0.32388251,43,146
10.0,canon,3,14,4200,0.999269,-0.906787,0.05127679,0.43508604,-0.37130436,38,146
10.0,canon,3,15,4500,0.999142,-0.906723,0.00639182,0.37967790,-0.36418929,46,146
10.0,canon,3,16,4800,0.999379,-0.906842,0.02813960,0.33870597,-0.27843716,47,146
10.0,canon,3,17,5100,0.999055,-0.906680,0.05665098,0.32452848,-0.26637777,34,146
10.0,canon,3,18,5400,0.999452,-0.906878,0.00377977,0.32058080,-0.31922543,43,146
10.0,canon,3,19,5700,0.999112,-0.906708,0.21881637,0.39409884,-0.22081840,17,146
10.0,canon,3,20,6000,0.999295,-0.906800,0.00194666,0.29860603,-0.29090175,47,146
10.0,canon,3,21,6300,0.999268,-0.906786,0.00185431,0.33953556,-0.33148901,47,146
10.0,canon,3,22,6600,0.999224,-0.906764,0.02628255,0.29185566,-0.24449151,43,146
10.0,canon,3,23,6900,0.999344,-0.906824,0.00049109,0.37956641,-0.37583731,46,146
10.0,canon,3,24,7200,0.999338,-0.906821,0.05855694,0.40697936,-0.33291380,37,146
10.0,canon,3,25,7500,0.999167,-0.906735,0.01865104,0.37832734,-0.33841891,46,146
10.0,canon,3,26,7800,0.999290,-0.906797,0.04100333,0.39889199,-0.35303877,38,146
10.0,canon,3,27,8100,0.999232,-0.906768,0.01330080,0.37326658,-0.35819097,42,146
10.0,canon,3,28,8400,0.999560,-0.906933,0.02279682,0.43065310,-0.37690234,50,146
10.0,canon,3,29,8700,0.999236,-0.906770,0.06654826,0.34883846,-0.25061950,37,146
10.0,canon,4,0,0,0.476787,0.082797,0.15835267,0.41171606,-0.34425066,21,139
10.0,canon,4,1,300,0.912820,-0.850926,0.13439577,0.61895522,-0.36567913,42,139
10.0,canon,4,2,600,0.974028,-0.893178,0.09989683,0.49566508,-0.33585140,38,139
10.0,canon,4,3,900,0.995521,-0.904888,0.05171238,0.36460255,-0.33589782,33,139
10.0,canon,4,4,1200,0.999098,-0.906701,-0.00352602,0.32292978,-0.32448858,48,139
10.0,canon,4,5,1500,0.999409,-0.906857,0.00105600,0.26255990,-0.26044791,45,139
10.0,canon,4,6,1800,0.999261,-0.906783,0.05405807,0.32712227,-0.25274378,37,139
10.0,canon,4,7,2100,0.999228,-0.906766,0.00175598,0.28447555,-0.27553321,49,139
10.0,canon,4,8,2400,0.999308,-0.906806,0.03049960,0.28694709,-0.23782144,41,139
10.0,canon,4,9,2700,0.999174,-0.906739,-0.00191298,0.29813532,-0.30464028,44,139
10.0,canon,4,10,3000,0.999305,-0.906805,0.00009212,0.27916670,-0.28147419,44,139
10.0,canon,4,11,3300,0.999174,-0.906739,0.02104667,0.33577811,-0.31908553,39,139
10.0,canon,4,12,3600,0.999252,-0.906778,0.00599798,0.28619139,-0.27419543,45,139
10.0,canon,4,13,3900,0.999343,-0.906824,-0.00455450,0.25911148,-0.26294716,50,139
10.0,canon,4,14,4200,0.999450,-0.906877,-0.00202454,0.28423506,-0.29389020,43,139
10.0,canon,4,15,4500,0.999257,-0.906781,0.05327788,0.30081067,-0.21926035,38,139
10.0,canon,4,16,4800,0.999250,-0.906777,0.04048197,0.33114332,-0.31002143,34,139
10.0,canon,4,17,5100,0.999422,-0.906863,0.06165973,0.32851507,-0.24480694,36,139
10.0,canon,4,18,5400,0.999170,-0.906737,-0.00404137,0.32016129,-0.32589474,46,139
10.0,canon,4,19,5700,0.999477,-0.906891,-0.00078250,0.28720817,-0.28668627,46,139
10.0,canon,4,20,6000,0.999385,-0.906845,0.05985631,0.33388729,-0.27961491,33,139
10.0,canon,4,21,6300,0.999238,-0.906771,0.00035637,0.29163007,-0.28880665,46,139
10.0,canon,4,22,6600,0.999115,-0.906710,0.03491645,0.30334031,-0.27335157,36,139
10.0,canon,4,23,6900,0.999310,-0.906808,0.03548928,0.31430043,-0.28470790,36,139
10.0,canon,4,24,7200,0.999221,-0.906763,0.04662208,0.33048907,-0.25038798,41,139
10.0,canon,4,25,7500,0.999314,-0.906809,0.01488866,0.33976368,-0.32038876,42,139
10.0,canon,4,26,7800,0.999349,-0.906827,0.07879031,0.39982652,-0.28989972,36,139
10.0,canon,4,27,8100,0.999251,-0.906778,0.00101882,0.30303608,-0.30099844,45,139
10.0,canon,4,28,8400,0.999440,-0.906873,0.00289664,0.32500486,-0.31687748,46,139
10.0,canon,4,29,8700,0.999324,-0.906814,0.00540822,0.31839013,-0.32713506,40,139
10.0,canon,5,0,0,0.497256,0.018619,0.13121180,0.39046688,-0.44339449,19,129
10.0,canon,5,1,300,0.938642,-0.870510,0.11467260,0.67161439,-0.43823339,46,129
10.0,canon,5,2,600,0.982856,-0.898162,0.07568872,0.50460488,-0.36696122,42,129
10.0,canon,5,3,900,0.997318,-0.905804,0.00622705,0.40167551,-0.39275219,44,129
10.0,canon,5,4,1200,0.999121,-0.906713,0.07429578,0.39684203,-0.31465705,34,129
10.0,canon,5,5,1500,0.999184,-0.906744,0.00115858,0.34100520,-0.33622538,46,129
10.0,canon,5,6,1800,0.999320,-0.906812,-0.00157325,0.33597732,-0.33478756,47,129
10.0,canon,5,7,2100,0.999288,-0.906796,0.00698443,0.29609247,-0.27657052,49,129
10.0,canon,5,8,2400,0.999249,-0.906777,-0.00226399,0.26100322,-0.26788180,44,129
10.0,canon,5,9,2700,0.999157,-0.906731,0.01101055,0.33372251,-0.31458276,44,129
10.0,canon,5,10,3000,0.999180,-0.906742,0.00400514,0.34603207,-0.34107560,44,129
10.0,canon,5,11,3300,0.999309,-0.906807,0.05575823,0.34104206,-0.28826050,34,129
10.0,canon,5,12,3600,0.999184,-0.906744,0.01495301,0.30463795,-0.27101057,47,129
10.0,canon,5,13,3900,0.999543,-0.906924,0.03978737,0.44488803,-0.38406950,41,129
10.0,canon,5,14,4200,0.999218,-0.906761,0.12985389,0.41859944,-0.29037400,28,129
10.0,canon,5,15,4500,0.999401,-0.906853,0.00438270,0.36247521,-0.36517583,42,129
10.0,canon,5,16,4800,0.999148,-0.906726,0.13509998,0.38846342,-0.26338119,26,129
10.0,canon,5,17,5100,0.999373,-0.906839,-0.00426769,0.33217895,-0.33425198,49,129
10.0,canon,5,18,5400,0.999189,-0.906747,0.05183953,0.35707422,-0.29870344,36,129
10.0,canon,5,19,5700,0.999163,-0.906733,0.00936002,0.31175205,-0.29303200,45,129
10.0,canon,5,20,6000,0.999277,-0.906791,0.00951783,0.30440092,-0.28536526,45,129
10.0,canon,5,21,6300,0.999136,-0.906720,0.00095805,0.26161568,-0.25531352,48,129
10.0,canon,5,22,6600,0.999343,-0.906824,0.00126766,0.29048423,-0.28239373,49,129
10.0,canon,5,23,6900,0.999217,-0.906761,0.00352573,0.30749423,-0.29824011,46,129
10.0,canon,5,24,7200,0.999394,-0.906849,-0.00246616,0.31799968,-0.31881522,47,129
10.0,canon,5,25,7500,0.999251,-0.906778,0.17316044,0.39527841,-0.20750884,24,129
10.0,canon,5,26,7800,0.999424,-0.906865,0.06062741,0.39998597,-0.34859909,34,129
10.0,canon,5,27,8100,0.999276,-0.906790,0.21919068,0.45608438,-0.30585442,19,129
10.0,canon,5,28,8400,0.999142,-0.906723,-0.00583355,0.27494260,-0.29210838,43,129
10.0,canon,5,29,8700,0.999288,-0.906796,-0.00033325,0.27737788,-0.27447684,47,129
10.0,canon,6,0,0,0.480368,0.071599,0.23759721,0.46827151,-0.21999721,21,137
10.0,canon,6,1,300,0.898436,-0.838767,0.16341800,0.69598223,-0.40243148,40,137
10.0,canon,6,2,600,0.974776,-0.893610,0.10194526,0.57220232,-0.46512943,34,137
10.0,canon,6,3,900,0.997930,-0.906113,0.28030809,0.62983333,-0.45151037,20,137
10.0,canon,6,4,1200,0.999113,-0.906709,0.04507529,0.51462852,-0.45382502,40,137
10.0,canon,6,5,1500,0.999652,-0.906978,0.05833215,0.49550807,-0.42300671,38,137
10.0,canon,6,6,1800,0.999036,-0.906670,0.21712867,0.52508193,-0.39376595,21,137
10.0,canon,6,7,2100,0.999639,-0.906972,0.28372391,0.58342596,-0.42167238,18,137
10.0,canon,6,8,2400,0.999072,-0.906688,0.47209486,0.71585631,-0.35100412,13,137
10.0,canon,6,9,2700,0.999336,-0.906820,0.00597829,0.39080979,-0.37606459,46,137
10.0,canon,6,10,3000,0.999302,-0.906803,0.01913094,0.34919432,-0.31739635,43,137
10.0,canon,6,11,3300,0.999089,-0.906697,0.09105102,0.39534747,-0.28591325,33,137
10.0,canon,6,12,3600,0.999537,-0.906921,0.05810664,0.37809607,-0.30141816,37,137
10.0,canon,6,13,3900,0.999338,-0.906821,0.24741844,0.50970915,-0.30175273,20,137
10.0,canon,6,14,4200,0.999235,-0.906770,-0.00045327,0.34816426,-0.36023344,42,137
10.0,canon,6,15,4500,0.999348,-0.906826,0.00949138,0.34772650,-0.32629276,46,137
10.0,canon,6,16,4800,0.999381,-0.906843,0.01102129,0.34238377,-0.32034120,45,137
10.0,canon,6,17,5100,0.999137,-0.906720,0.06492694,0.44407377,-0.34481940,39,137
10.0,canon,6,18,5400,0.999425,-0.906865,0.01704589,0.37988847,-0.34113553,47,137
10.0,canon,6,19,5700,0.999187,-0.906746,0.04564911,0.40469684,-0.33002258,41,137
10.0,canon,6,20,6000,0.999304,-0.906804,0.00767399,0.28924376,-0.27941000,43,137
10.0,canon,6,21,6300,0.999201,-0.906753,0.05556479,0.33855164,-0.24510873,40,137
10.0,canon,6,22,6600,0.999355,-0.906830,0.01391095,0.37519823,-0.35060210,44,137
10.0,canon,6,23,6900,0.999139,-0.906722,0.01288587,0.28995033,-0.27305011,42,137
10.0,canon,6,24,7200,0.999217,-0.906761,0.02832036,0.37595350,-0.35443021,38,137
10.0,canon,6,25,7500,0.999427,-0.906866,-0.00265020,0.36571674,-0.36364980,50,137
10.0,canon,6,26,7800,0.999102,-0.906703,0.08966268,0.41098971,-0.39599600,27,137
10.0,canon,6,27,8100,0.999566,-0.906936,0.06345787,0.40528395,-0.34874418,34,137
10.0,canon,6,28,8400,0.999035,-0.906669,0.30544121,0.45063232,-0.18481948,13,137
10.0,canon,6,29,8700,0.999535,-0.906920,0.18852972,0.51971620,-0.46845323,21,137
10.0,canon,7,0,0,0.513012,-0.030857,0.18280547,0.42312241,-0.27009953,22,129
10.0,canon,7,1,300,0.953497,-0.880576,0.15038953,0.69718750,-0.40711685,43,129
10.0,canon,7,2,600,0.986888,-0.900357,0.06156733,0.44279554,-0.32306470,44,129
10.0,canon,7,3,900,0.999258,-0.906781,0.02354905,0.33879898,-0.29787468,43,129
10.0,canon,7,4,1200,0.999193,-0.906749,0.19486230,0.52511063,-0.32454074,26,129
10.0,canon,7,5,1500,0.999338,-0.906822,0.04077180,0.38105621,-0.34155547,37,129
10.0,canon,7,6,1800,0.999171,-0.906738,0.09766836,0.35106248,-0.24622365,30,129
10.0,canon,7,7,2100,0.999285,-0.906795,0.01164548,0.30553919,-0.30596726,39,129
10.0,canon,7,8,2400,0.999241,-0.906773,0.00581036,0.31083354,-0.29408022,48,129
10.0,canon,7,9,2700,0.999331,-0.906818,0.05917993,0.32201633,-0.27588815,32,129
10.0,canon,7,10,3000,0.999303,-0.906804,0.00127218,0.25227654,-0.25197329,44,129
10.0,canon,7,11,3300,0.999163,-0.906734,-0.00147814,0.31678797,-0.31438882,48,129
10.0,canon,7,12,3600,0.999325,-0.906815,0.03046044,0.38201188,-0.34946338,39,129
10.0,canon,7,13,3900,0.999282,-0.906793,0.00898941,0.31154515,-0.30325408,42,129
10.0,canon,7,14,4200,0.999537,-0.906921,0.01674119,0.32676313,-0.32459876,38,129
10.0,canon,7,15,4500,0.999276,-0.906790,0.02392065,0.32225566,-0.28025690,43,129
10.0,canon,7,16,4800,0.999207,-0.906756,-0.00709496,0.32736580,-0.33513149,49,129
10.0,canon,7,17,5100,0.999439,-0.906872,0.01186407,0.34731804,-0.31928057,47,129
10.0,canon,7,18,5400,0.999373,-0.906839,0.12553483,0.34134498,-0.21388384,26,129
10.0,canon,7,19,5700,0.999136,-0.906720,-0.00190986,0.27207351,-0.27237358,47,129
10.0,canon,7,20,6000,0.999412,-0.906858,0.00260203,0.36359456,-0.35117064,50,129
10.0,canon,7,21,6300,0.999307,-0.906806,0.00724509,0.33850965,-0.31976397,47,129
10.0,canon,7,22,6600,0.999315,-0.906810,0.02092259,0.30423157,-0.26793467,43,129
10.0,canon,7,23,6900,0.999294,-0.906800,-0.00560735,0.29873812,-0.30410705,49,129
10.0,canon,7,24,7200,0.999228,-0.906766,0.02151769,0.26466537,-0.22941550,42,129
10.0,canon,7,25,7500,0.999178,-0.906741,-0.00359813,0.37368270,-0.37814505,46,129
10.0,canon,7,26,7800,0.999504,-0.906905,0.01233234,0.41137951,-0.38000008,48,129
10.0,canon,7,27,8100,0.999182,-0.906743,0.08569955,0.38805177,-0.29974395,32,129
10.0,canon,7,28,8400,0.999126,-0.906715,-0.00277628,0.28140902,-0.28150304,49,129
10.0,canon,7,29,8700,0.998907,-0.906605,0.02619760,0.35249538,-0.31520780,41,129
10.0,canon,8,0,0,0.471907,0.098029,0.23857526,0.40955935,-0.29340682,14,144
10.0,canon,8,1,300,0.903760,-0.843376,0.13968127,0.69562927,-0.46113517,39,144
10.0,canon,8,2,600,0.968549,-0.889956,0.03999031,0.45069601,-0.37071539,45,144
10.0,canon,8,3,900,0.994765,-0.904501,0.03777618,0.33415014,-0.28251700,39,144
10.0,canon,8,4,1200,0.998702,-0.906502,-0.00609729,0.33949144,-0.34587083,48,144
10.0,canon,8,5,1500,0.999310,-0.906807,0.01781429,0.34675035,-0.34435046,38,144
10.0,canon,8,6,1800,0.999264,-0.906784,0.01484708,0.33895448,-0.30691170,46,144
10.0,canon,8,7,2100,0.999326,-0.906815,-0.00701226,0.29559231,-0.30742404,46,144
10.0,canon,8,8,2400,0.999042,-0.906673,0.09903286,0.39932738,-0.29560384,31,144
10.0,canon,8,9,2700,0.999357,-0.906831,0.00646682,0.32786994,-0.32123062,43,144
10.0,canon,8,10,3000,0.999344,-0.906824,0.06252330,0.31438351,-0.27928699,30,144
10.0,canon,8,11,3300,0.999221,-0.906763,0.00126161,0.27400450,-0.26624252,49,144
10.0,canon,8,12,3600,0.999354,-0.906830,0.00900842,0.34322677,-0.32091648,47,144
10.0,canon,8,13,3900,0.999208,-0.906756,0.02557456,0.30474408,-0.26652054,41,144
10.0,canon,8,14,4200,0.999212,-0.906758,-0.00280909,0.36416759,-0.36978577,45,144
10.0,canon,8,15,4500,0.999404,-0.906855,0.13642001,0.44687722,-0.29948664,29,144
10.0,canon,8,16,4800,0.999304,-0.906804,-0.00409284,0.28625982,-0.29234148,46,144
10.0,canon,8,17,5100,0.999194,-0.906749,0.00181246,0.28797451,-0.29351241,42,144
10.0,canon,8,18,5400,0.999338,-0.906821,0.01659524,0.34296240,-0.32022209,42,144
10.0,canon,8,19,5700,0.999240,-0.906772,0.00020978,0.32611705,-0.32151080,47,144
10.0,canon,8,20,6000,0.999412,-0.906859,0.00678765,0.33786897,-0.33077751,43,144
10.0,canon,8,21,6300,0.999228,-0.906766,0.12346854,0.35147057,-0.26728493,24,144
10.0,canon,8,22,6600,0.999367,-0.906836,0.00193403,0.30250499,-0.29645888,46,144
10.0,canon,8,23,6900,0.999277,-0.906791,0.01187686,0.27908981,-0.26389218,42,144
10.0,canon,8,24,7200,0.999380,-0.906843,-0.00028916,0.29265548,-0.29584938,44,144
10.0,canon,8,25,7500,0.999192,-0.906748,0.06302285,0.34282284,-0.27438302,34,144
10.0,canon,8,26,7800,0.999101,-0.906703,0.00410297,0.35502336,-0.34995064,44,144
10.0,canon,8,27,8100,0.999324,-0.906814,0.05043391,0.32453733,-0.26435674,36,144
10.0,canon,8,28,8400,0.999117,-0.906711,0.00111471,0.33263247,-0.33040306,45,144
10.0,canon,8,29,8700,0.999255,-0.906780,-0.00042950,0.30328822,-0.29903659,48,144
10.0,canon,9,0,0,0.498569,0.014494,0.16653772,0.49783240,-0.40124032,24,130
10.0,canon,9,1,300,0.927636,-0.862500,0.12853237,0.68763657,-0.42338944,47,130
10.0,canon,9,2,600,0.975293,-0.893908,0.11408422,0.50762524,-0.37343675,33,130
10.0,canon,9,3,900,0.997780,-0.906038,0.10823568,0.42356404,-0.20103595,49,130
10.0,canon,9,4,1200,0.998780,-0.906541,0.40759160,0.62046578,-0.31121167,13,130
10.0,canon,9,5,1500,0.999559,-0.906932,0.11412321,0.40568292,-0.31020030,28,130
10.0,canon,9,6,1800,0.999223,-0.906764,0.28801842,0.50150493,-0.37620125,14,130
10.0,canon,9,7,2100,0.999354,-0.906830,0.03710260,0.34897213,-0.32960113,35,130
