arm,u_frozen,group,seed,synchrony,lz_full,lz_tail,u_drift,u_mean_final
FROZ_UBAR,0.997299,replication,3026,0.0026381858,1.0963529435,1.5829504565,0.000e+00,0.997299
FROZ_UBAR,0.997299,replication,3027,-0.0055377340,1.1377713309,1.5613572184,0.000e+00,0.997299
FROZ_UBAR,0.997299,replication,3028,-0.0149259287,1.0327167457,1.5572046726,0.000e+00,0.997299
FROZ_UBAR,0.997299,replication,3029,-0.0069708576,1.1761724848,1.5198317605,0.000e+00,0.997299
FROZ_UBAR,0.997299,replication,3030,-0.0074990911,1.1317368639,1.5763063833,0.000e+00,0.997299
FROZ_PROFILE,per_node_profile,canon,0,-0.0020402427,1.0582260836,1.5513911085,0.000e+00,0.997266
FROZ_PROFILE,per_node_profile,canon,1,-0.0107925409,1.0195506358,1.5513911085,0.000e+00,0.997949
FROZ_PROFILE,per_node_profile,canon,2,0.0030841579,0.9808751879,1.5190012513,0.000e+00,0.994480
FROZ_PROFILE,per_node_profile,canon,3,0.0067317986,1.1890643008,1.5530521268,0.000e+00,0.997572
FROZ_PROFILE,per_node_profile,canon,4,-0.0021524427,1.1144563446,1.5522216177,0.000e+00,0.998139
FROZ_PROFILE,per_node_profile,canon,5,0.0123524164,1.1912586524,1.5538826360,0.000e+00,0.997520
FROZ_PROFILE,per_node_profile,canon,6,-0.0077255810,1.2079905838,1.5547131451,0.000e+00,0.996956
FROZ_PROFILE,per_node_profile,canon,7,-0.0019697871,1.1534060865,1.5339504162,0.000e+00,0.997847
FROZ_PROFILE,per_node_profile,canon,8,-0.0043289407,1.1210393996,1.5572046726,0.000e+00,0.997719
FROZ_PROFILE,per_node_profile,canon,9,-0.0000055932,1.0897698886,1.5530521268,0.000e+00,0.997548
FROZ_PROFILE,per_node_profile,replication,3021,-0.0060387643,1.0505458528,1.5547131451,0.000e+00,0.993172
FROZ_PROFILE,per_node_profile,replication,3022,-0.0115113334,1.0842840095,1.5688318008,0.000e+00,0.990389
FROZ_PROFILE,per_node_profile,replication,3023,0.0026083359,1.2022304107,1.5713233283,0.000e+00,0.997878
FROZ_PROFILE,per_node_profile,replication,3024,0.0035534659,1.0546602622,1.5522216177,0.000e+00,0.997333
FROZ_PROFILE,per_node_profile,replication,3025,-0.0019534914,1.0768780726,1.5563741635,0.000e+00,0.997386
FROZ_PROFILE,per_node_profile,replication,3026,-0.0038545076,1.1026617045,1.5555436543,0.000e+00,0.996880
FROZ_PROFILE,per_node_profile,replication,3027,-0.0035313268,1.1314625699,1.5430860169,0.000e+00,0.997908
FROZ_PROFILE,per_node_profile,replication,3028,0.0062390269,1.0406712704,1.5530521268,0.000e+00,0.997966
FROZ_PROFILE,per_node_profile,replication,3029,0.0008886307,1.1619091991,1.5397639803,0.000e+00,0.997431
FROZ_PROFILE,per_node_profile,replication,3030,-0.0040643239,1.1169249903,1.5339504162,0.000e+00,0.997079
